nid,refseq_id,ncbi_name,ncbi_taxid,ncbi_species,ncbi_species_id
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405,GCA_016294015.1,Candidatus Methanomethylophilaceae archaeon,2517205,Candidatus Methanomethylophilaceae archaeon,2517205.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus,GCF_003711245.1,Candidatus Methanomethylophilus alvus,1291540,Candidatus Methanomethylophilus alvus,1291540.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954425,GCA_009911715.1,Methanomassiliicoccaceae archaeon DOK,1535962,Methanomassiliicoccaceae archaeon DOK,1535962.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954465,GCA_006954465.1,Methanomassiliicoccales archaeon Mx-06,1820007,Methanomassiliicoccales archaeon Mx-06,1820007.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp905187815,GCA_905187815.1,uncultured Methanomassiliicoccaceae bacterium,1963760,uncultured Methanomassiliicoccaceae bacterium,1963760.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum massiliense,GCF_000315465.1,Actinobaculum massiliense ACS-171-V-Col2,883066,Actinobaculum massiliense,202789.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis,GCF_000429225.1,Actinomyces dentalis DSM 19115,1120941,Actinomyces dentalis,272548.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae,GCF_000429265.1,Actinomyces gerencseriae DSM 6844,1120943,Actinomyces gerencseriae,52769.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii,GCF_000239695.1,Actinomyces graevenitzii C83,435830,Actinomyces graevenitzii,55565.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii,GCA_000711965.1,Actinomyces israelii DSM 43320,1120944,Actinomyces israelii,1659.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii,GCF_006546835.1,Actinomyces johnsonii,544581,Actinomyces johnsonii,544581.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis,GCF_000269805.1,Actinomyces massiliensis 4401292,1167628,Actinomyces massiliensis,461393.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii,GCF_001956565.1,Actinomyces naeslundii,1655,Actinomyces naeslundii,1655.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris,GCF_001937715.1,Actinomyces oris,544580,Actinomyces oris,544580.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces radicidentis,GCF_001553565.1,Actinomyces radicidentis,111015,Actinomyces radicidentis,111015.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835,GCF_000220835.1,Actinomyces sp. oral taxon 448 str. F0400,888056,Actinomyces sp. oral taxon 448,712124.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp002999235,GCF_002999235.1,Actinomyces sp. oral taxon 897,2081702,Actinomyces sp. oral taxon 897,2081702.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis,GCF_900128465.1,Actinomyces bouchesdurhonensis,1852361,Actinomyces bouchesdurhonensis,1852361.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia cardiffensis,GCF_016405145.1,Schaalia cardiffensis,181487,Schaalia cardiffensis,181487.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia georgiae,GCF_000429245.1,Schaalia georgiae DSM 6843,1120942,Schaalia georgiae,52768.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia hongkongensis,GCA_000186685.1,Actinomyces sp. oral taxon 178 str. F0338,888051,Actinomyces sp. oral taxon 178,710238.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica,GCF_900445025.1,Schaalia odontolytica,1660,Schaalia odontolytica,1660.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285,GCA_001061885.1,Kytococcus sedentarius,1276,Kytococcus sedentarius,1276.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725,GCF_000278725.1,Actinomyces sp. ICM47,936548,Actinomyces sp. ICM47,936548.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055,GCA_001070095.1,Streptantibioticus cattleyicolor,29303,Streptomyces cattleya,29303.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415,GCF_001059235.1,Isoptericola variabilis,139208,Isoptericola variabilis,139208.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265,GCF_000466265.1,Actinomyces sp. oral taxon 172 str. F0311,1321775,Actinomyces sp. oral taxon 172,712118.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000758755,GCF_000758755.1,Actinomyces sp. S6-Spd3,1284680,Actinomyces sp. S6-Spd3,1284680.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545,GCA_905199125.1,uncultured Actinomyces sp.,249061,uncultured Actinomyces sp.,249061.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis,GCF_015549945.1,Schaalia turicensis,131111,Schaalia turicensis,131111.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Peptidiphaga;s__Peptidiphaga gingivicola,GCF_001652275.1,Peptidiphaga gingivicola,2741497,Peptidiphaga gingivicola,2741497.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Peptidiphaga;s__Peptidiphaga sp000466165,GCF_000466165.1,Actinobaculum sp. oral taxon 183 str. F0552,1227261,Actinobaculum sp. oral taxon 183,712888.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella bernardiae,GCF_001808405.1,Trueperella sp. HMSC08B05,1581135,Trueperella sp. HMSC08B05,1581135.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum cambriense_A,GCA_018372395.1,Varibaculum cambriense,184870,Varibaculum cambriense,184870.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A,GCA_900120415.1,Urmitella timonensis,1870994,Urmitella timonensis,1870994.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens,GCF_001053655.1,Alloscardovia omnicolens,419015,Alloscardovia omnicolens,419015.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis,GCF_003429385.1,Bifidobacterium adolescentis,1680,Bifidobacterium adolescentis,1680.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum,GCF_000156635.1,Bifidobacterium angulatum DSM 20098 = JCM 7096,518635,Bifidobacterium angulatum,1683.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis,GCF_004135895.1,Bifidobacterium animalis,28025,Bifidobacterium animalis,28025.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum,GCF_001595435.1,Bifidobacterium bifidum,1681,Bifidobacterium bifidum,1681.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve,GCF_014779815.1,Bifidobacterium breve,1685,Bifidobacterium breve,1685.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum,GCF_002075855.1,Bifidobacterium catenulatum,1686,Bifidobacterium catenulatum,1686.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium,GCF_015555105.1,Bifidobacterium dentium,1689,Bifidobacterium dentium,1689.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum,GCF_004155325.1,Bifidobacterium pseudolongum subsp. globosum,1690,Bifidobacterium pseudolongum,1694.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum,GCF_001447975.1,Bifidobacterium longum subsp. longum,1679,Bifidobacterium longum,216816.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium mongoliense,GCF_003788965.1,Bifidobacterium mongoliense,518643,Bifidobacterium mongoliense,518643.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii,GCF_000263615.1,Gardnerella vaginalis 00703Bmash,698958,Gardnerella vaginalis,2702.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum,GCF_003952825.1,Bifidobacterium pseudocatenulatum,28026,Bifidobacterium pseudocatenulatum,28026.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum,GCF_000771405.1,Bifidobacterium pullorum DSM 20433,1437600,Bifidobacterium pullorum,78448.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_B,GCF_016900615.1,Bifidobacterium pullorum subsp. saeculare,78257,Bifidobacterium pullorum,78448.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii,GCF_001059475.1,Bifidobacterium scardovii,158787,Bifidobacterium scardovii,158787.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii,GCF_001660745.1,Gardnerella sp. 26-12,1841133,Gardnerella sp. 26-12,1841133.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum,GCF_002846785.1,Bifidobacterium thermophilum,33905,Bifidobacterium thermophilum,33905.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale,GCF_000263475.1,Gardnerella vaginalis 55152,698955,Gardnerella vaginalis,2702.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Parascardovia;s__Parascardovia denticolens,GCF_000191785.1,Parascardovia denticolens DSM 10105 = JCM 12538,864564,Parascardovia denticolens,78258.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia inopinata,GCF_000163755.1,Scardovia inopinata F0304,641146,Scardovia inopinata,78259.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae,GCF_000269605.1,Scardovia wiggsiae F0424,857290,Scardovia wiggsiae,230143.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium aurantiacum,GCF_002332445.1,Brevibacterium aurantiacum,273384,Brevibacterium aurantiacum,273384.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia;s__Leifsonia sp001428745,GCF_001428745.1,Leifsonia sp. Root227,1736496,Leifsonia sp. Root227,1736496.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium gubbeenense,GCF_000422745.1,Microbacterium gubbeenense DSM 15944,1122237,Microbacterium gubbeenense,159896.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium lacticum,GCF_015700745.1,Microbacterium lacticum,33885,Microbacterium lacticum,33885.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Tropheryma;s__Tropheryma whipplei,GCF_000346105.2,Tropheryma whipplei str. Art1,1293895,Tropheryma whipplei,2039.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia aeria,GCF_000763685.1,Rothia aeria,172042,Rothia aeria,172042.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa,GCF_001062425.1,Rothia dentocariosa,2047,Rothia dentocariosa,2047.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa,GCF_001060545.1,Rothia mucilaginosa,43675,Rothia mucilaginosa,43675.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa_A,GCF_001061665.1,Rothia mucilaginosa,43675,Rothia mucilaginosa,43675.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium amycolatum_A,GCF_001055915.1,Corynebacterium sp. 212_CJEI,2715675,Corynebacterium sp. 212_CJEI,2715675.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium argentoratense,GCF_000971865.1,Corynebacterium argentoratense,42817,Corynebacterium argentoratense,42817.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium aurimucosum_C,GCF_009707995.1,Corynebacterium aurimucosum,169292,Corynebacterium aurimucosum,169292.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium casei,GCF_014897435.1,Corynebacterium casei,160386,Corynebacterium casei,160386.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium durum,GCF_013410305.1,Corynebacterium durum,61592,Corynebacterium durum,61592.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium faecigallinarum,GCA_019120175.1,Candidatus Corynebacterium faecigallinarum,2838528,Candidatus Corynebacterium faecigallinarum,2838528.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium flavescens,GCF_008693105.1,Corynebacterium flavescens,28028,Corynebacterium flavescens,28028.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium matruchotii,GCF_008868665.1,Corynebacterium matruchotii,43768,Corynebacterium matruchotii,43768.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium minutissimum_A,GCF_009708045.1,Corynebacterium aurimucosum,169292,Corynebacterium aurimucosum,169292.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium nuruki,GCF_000213935.1,Corynebacterium nuruki S6-4,863239,Corynebacterium nuruki,1032851.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium propinquum,GCF_001052555.1,Corynebacterium propinquum,43769,Corynebacterium propinquum,43769.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp001807485,GCF_001059385.1,Corynebacterium jeikeium,38289,Corynebacterium jeikeium,38289.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium variabile,GCF_000179395.2,Corynebacterium variabile DSM 44702,858619,Corynebacterium variabile,1727.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Lawsonella;s__Lawsonella sp018376445,GCA_018376445.1,Corynebacteriales bacterium,1957017,Corynebacteriales bacterium,1957017.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus qingshengii,GCF_001682295.1,Rhodococcus sp. 008,1723645,Rhodococcus sp. 008,1723645.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Acidipropionibacterium;s__Acidipropionibacterium acidipropionici,GCF_000310065.1,Acidipropionibacterium acidipropionici ATCC 4875,1171373,Acidipropionibacterium acidipropionici,1748.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia propionica,GCF_000277715.1,Arachnia propionica F0230a,767029,Arachnia propionica,1750.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia rubra,GCF_018128325.1,Arachnia rubra,1547448,Arachnia rubra,1547448.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia sp013333945,GCA_013333945.2,Propionibacterium sp.,1977903,Propionibacterium sp.,1977903.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia sp900607225,GCF_900607225.1,[Pseudopropionibacterium] massiliense,2220000,[Pseudopropionibacterium] massiliense,2220000.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia sp905372155,GCA_905372155.1,Propionibacteriaceae bacterium,2021380,Propionibacteriaceae bacterium,2021380.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium acidifaciens,GCF_000426605.1,Propionibacterium acidifaciens DSM 21887,1122994,Propionibacterium acidifaciens,556499.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium freudenreichii,GCF_000940845.1,Propionibacterium freudenreichii subsp. freudenreichii,66712,Propionibacterium freudenreichii,1744.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium deltae,GCF_001552785.1,Atopobium deltae,1393034,Atopobium deltae,1393034.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum,GCF_000364325.1,Atopobium minutum 10063974,997872,Atopobium minutum,1381.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coprovicinus;s__Coprovicinus avistercoris,GCA_018714895.1,Candidatus Coprovicinus avistercoris,2840754,Candidatus Coprovicinus avistercoris,2840754.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea vaginae,GCF_001049775.1,Fannyhessea vaginae,82135,Fannyhessea vaginae,82135.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella parvula,GCF_000024225.1,Lancefieldella parvula DSM 20469,521095,Lancefieldella parvula,1382.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella rimae,GCF_000174015.1,Lancefieldella rimae ATCC 49626,553184,Lancefieldella rimae,1383.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000411555,GCF_000411555.1,Atopobium sp. oral taxon 199 str. F0494,1203602,Atopobium sp. oral taxon 199,712156.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000564995,GCF_000565075.1,Atopobium sp. BS2,936550,Atopobium sp. BS2,936550.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793665,GCA_015234195.1,Atopobiaceae bacterium FL090493,2661918,Atopobiaceae bacterium FL090493,2661918.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp012584445,GCF_012584445.1,Olsenella sp. KGMB02461,2726201,Olsenella sp. KGMB02461,2726201.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olegusella;s__Olegusella massiliensis,GCA_000468855.1,Coriobacteriaceae bacterium BV3Ac1,1111135,Coriobacteriaceae bacterium BV3Ac1,1111135.0
