nid,strain_name,specie_id,specie_name,k,refseq_id
519081,Aquitalea denitrificans,519081,Aquitalea denitrificans,Bacteria,GCF_009856625.1
583357,Thermoanaerobacter mathranii,583357,Thermoanaerobacter mathranii,Bacteria,GCF_000092965.1
146919,Salinibacter ruber,146919,Salinibacter ruber,Bacteria,GCF_003491425.1
58049,Colwellia sp. MT41,58049,Colwellia sp. MT41,Bacteria,GCF_001444365.1
2478464,Enterobacter oligotrophicus,2478464,Enterobacter oligotrophicus,Bacteria,GCF_015473065.1
2731755,Teredinibacter sp. Bs08,2731755,Teredinibacter sp. Bs08,Bacteria,GCF_014211975.1
2082949,Microvirga sp. 17 mud 1-3,2082949,Microvirga sp. 17 mud 1-3,Bacteria,GCF_003151255.1
2579248,Agrobacterium sp. CGMCC 11546,2579248,Agrobacterium sp. CGMCC 11546,Bacteria,GCF_013365515.1
1743162,Polynucleobacter sp. LimPoW16,1743162,Polynucleobacter sp. LimPoW16,Bacteria,GCF_013307245.1
2153485,Streptomyces sp. endophyte_N2,2153485,Streptomyces sp. endophyte_N2,Bacteria,GCF_004104485.1
2609808,,,,,GCF_017933235.1
314282,Psychromonas sp. CNPT3,314282,Psychromonas sp. CNPT3,Bacteria,GCF_000153405.2
1473112,Paenibacillus guangzhouensis,1473112,Paenibacillus guangzhouensis,Bacteria,GCF_009363075.1
712633,Streptococcus sp. oral taxon 431,712633,Streptococcus sp. oral taxon 431,Bacteria,GCF_001553685.1
2751177,Vibrio sp. B1FIG11,2751177,Vibrio sp. B1FIG11,Bacteria,GCF_903986875.1
225084,Erysipelothrix inopinata,225084,Erysipelothrix inopinata,Bacteria,GCF_014396165.1
1008,Saprospira grandis,1008,Saprospira grandis,Bacteria,GCF_000275825.1
81032,Hyphomonas neptunium,81032,Hyphomonas neptunium,Bacteria,GCF_000013025.1
2661553,Halomonas sp. AM6,2661553,Halomonas sp. AM6,Bacteria,GCF_009617955.1
1532350,Metallosphaera tengchongensis,1532350,Metallosphaera tengchongensis,Archaea,GCF_013343295.1
2742132,Verrucosispora sp. NA02020,2742132,Verrucosispora sp. NA02020,Bacteria,GCF_013364215.1
1699371,Haloterrigena sp. YPL8,1699371,Haloterrigena sp. YPL8,Archaea,GCF_013402815.1
2058133,Alteromonas sp. MB-3u-76,2058133,Alteromonas sp. MB-3u-76,Bacteria,GCF_002831605.1
87791,Pseudoalteromonas sp. PS1M3,87791,Pseudoalteromonas sp. PS1M3,Bacteria,GCF_016865405.1
1348613,Vallitalea pronyensis,1348613,Vallitalea pronyensis,Bacteria,GCF_018141445.1
2509456,Paenibacillus protaetiae,2509456,Paenibacillus protaetiae,Bacteria,GCF_004135365.1
1472,Paenibacillus pabuli,1472,Paenibacillus pabuli,Bacteria,GCF_003182535.1
2813843,,,,,GCF_018417615.1
93378,Edwardsiella hoshinae,93378,Edwardsiella hoshinae,Bacteria,GCF_001761405.1
2762729,Novosphingopyxis sp. PB63,2762729,Novosphingopyxis sp. PB63,Bacteria,GCF_014334095.1
29461,Brucella suis,29461,Brucella suis,Bacteria,GCF_001715425.1
167957,Wolbachia endosymbiont of Aedes albopictus,167957,Wolbachia endosymbiont of Aedes albopictus,Bacteria,GCF_004795415.1
2025658,Pseudomonas sp. NS1(2017),2025658,Pseudomonas sp. NS1(2017),Bacteria,GCF_002269425.1
1571,Sporosarcina ureae,1571,Sporosarcina ureae,Bacteria,GCF_002082015.1
37482,Laceyella sacchari,37482,Laceyella sacchari,Bacteria,GCF_004343255.1
1842727,Rhodoferax koreense,1842727,Rhodoferax koreense,Bacteria,GCF_001955695.1
32002,Achromobacter denitrificans,32002,Achromobacter denitrificans,Bacteria,GCF_003939895.1
1590041,Aquitalea sp. USM4,1590041,Aquitalea sp. USM4,Bacteria,GCF_004328945.1
2420310,Streptococcus sp. FDAARGOS_522,2420310,Streptococcus sp. FDAARGOS_522,Bacteria,GCF_003812445.1
2494234,Sutterella megalosphaeroides,2494234,Sutterella megalosphaeroides,Bacteria,GCF_003609995.1
1931275,Neisseria dumasiana,1931275,Neisseria dumasiana,Bacteria,GCF_002108505.1
2773308,Halomonas sp. YLGW01,2773308,Halomonas sp. YLGW01,Bacteria,GCF_014840935.1
2742137,Streptomyces sp. NA02950,2742137,Streptomyces sp. NA02950,Bacteria,GCF_013364155.1
1236046,Mesotoga infera,1236046,Mesotoga infera,Bacteria,GCA_000367705.1
1807358,Stanieria sp. NIES-3757,1807358,Stanieria sp. NIES-3757,Bacteria,GCF_002355455.1
53444,Fructilactobacillus lindneri,53444,Fructilactobacillus lindneri,Bacteria,GCF_002907025.1
955,Wolbachia pipientis,955,Wolbachia pipientis,Bacteria,GCF_014333535.1
2758710,Gordoniaceae bacterium zg-686,2758710,Gordoniaceae bacterium zg-686,Bacteria,GCA_014041935.1
1641402,Pseudonocardia sp. HH130629-09,1641402,Pseudonocardia sp. HH130629-09,Bacteria,GCF_001294645.1
84595,Gordonia polyisoprenivorans,84595,Gordonia polyisoprenivorans,Bacteria,GCF_012396285.1
1653434,Sellimonas intestinalis,1653434,Sellimonas intestinalis,Bacteria,GCF_015550825.1
28111,Bacteroides eggerthii,28111,Bacteroides eggerthii,Bacteria,GCF_015560775.1
745377,Natrarchaeobaculum aegyptiacum,745377,Natrarchaeobaculum aegyptiacum,Archaea,GCF_002156705.1
1478,Peribacillus simplex,1478,Peribacillus simplex,Bacteria,GCF_002287755.1
263,Francisella tularensis,263,Francisella tularensis,Bacteria,GCF_014697675.1
1906744,Rodentibacter heylii,1906744,Rodentibacter heylii,Bacteria,GCF_001998625.1
1756149,Elizabethkingia bruuniana,1756149,Elizabethkingia bruuniana,Bacteria,GCA_007923145.1
1581038,Bacillus sp. FJAT-22090,1581038,Bacillus sp. FJAT-22090,Bacteria,GCF_007677425.1
2102,Mycoplasma mycoides,2102,Mycoplasma mycoides,Bacteria,GCF_018406545.1
1118379,Mycolicibacter minnesotensis,1118379,Mycolicibacter minnesotensis,Bacteria,GCF_002086405.1
83683,Lactobacillus amylolyticus,83683,Lactobacillus amylolyticus,Bacteria,GCF_004354545.1
99598,Calothrix sp. PCC 7507,99598,Calothrix sp. PCC 7507,Bacteria,GCF_000316575.1
2662033,Pseudomonas sp. 14181154,2662033,Pseudomonas sp. 14181154,Bacteria,GCF_013305665.1
404589,Anaeromyxobacter sp. Fw109-5,404589,Anaeromyxobacter sp. Fw109-5,Bacteria,GCF_000017505.1
1941349,Sedimentisphaera salicampi,1941349,Sedimentisphaera salicampi,Bacteria,GCF_002239625.1
2893202,,,,,GCA_015476115.1
436,Komagataeibacter hansenii,436,Komagataeibacter hansenii,Bacteria,GCF_003416815.1
1603,Amylolactobacillus amylophilus,1603,Amylolactobacillus amylophilus,Bacteria,GCF_006540265.1
1290,Staphylococcus hominis,1290,Staphylococcus hominis,Bacteria,GCF_001068715.1
2708082,Mumia sp. ZJ1417,2708082,Mumia sp. ZJ1417,Bacteria,GCF_011751775.1
1547448,Arachnia rubra,1547448,Arachnia rubra,Bacteria,GCF_018128325.1
46541,Thermosipho melanesiensis,46541,Thermosipho melanesiensis,Bacteria,GCF_001999555.1
2792224,Diaphorobacter sp. JS3051,2792224,Diaphorobacter sp. JS3051,Bacteria,GCF_015832135.1
1891207,Thaumasiovibrio subtropicus,1891207,Thaumasiovibrio subtropicus,Bacteria,GCF_002157755.1
28104,Mesorhizobium huakuii,28104,Mesorhizobium huakuii,Bacteria,GCF_014189455.1
43305,Butyrivibrio proteoclasticus,43305,Butyrivibrio proteoclasticus,Bacteria,GCF_900115735.1
1069,Rhodomicrobium vannielii,1069,Rhodomicrobium vannielii,Bacteria,GCF_002198685.1
2763071,Edaphobacter sp. 4G125,2763071,Edaphobacter sp. 4G125,Bacteria,GCF_014274685.1
85085,Pseudarthrobacter chlorophenolicus,85085,Pseudarthrobacter chlorophenolicus,Bacteria,GCF_900104315.1
69395,Caulobacter henricii,69395,Caulobacter henricii,Bacteria,GCF_007828975.1
2580515,Agrobacterium sp. T29,2580515,Agrobacterium sp. T29,Bacteria,GCF_006970545.1
1313,Streptococcus pneumoniae,1313,Streptococcus pneumoniae,Bacteria,GCF_001102965.1
1874061,Sphingopyxis sp. EG6,1874061,Sphingopyxis sp. EG6,Bacteria,GCF_003609815.1
1555112,Limnochorda pilosa,1555112,Limnochorda pilosa,Bacteria,GCF_001544015.1
110164,Thermococcus guaymasensis,110164,Thermococcus guaymasensis,Archaea,GCF_000816105.1
32049,Synechococcus sp. PCC 7002,32049,Synechococcus sp. PCC 7002,Bacteria,GCF_019137755.1
44674,Sulfurospirillum barnesii,44674,Sulfurospirillum barnesii,Bacteria,GCF_000265295.1
323284,Alcaligenes aquatilis,323284,Alcaligenes aquatilis,Bacteria,GCF_003938225.1
2021862,Labrenzia sp. VG12,2021862,Labrenzia sp. VG12,Bacteria,GCF_002237595.1
29471,Pectobacterium atrosepticum,29471,Pectobacterium atrosepticum,Bacteria,GCF_000740965.1
195498,Synechococcus sp. PCC 7117,195498,Synechococcus sp. PCC 7117,Bacteria,GCF_001693275.1
387093,Sulfurovum sp. NBC37-1,387093,Sulfurovum sp. NBC37-1,Bacteria,GCF_000010345.1
2714036,Lactobacillus sp. NFFJ11,2714036,Lactobacillus sp. NFFJ11,Bacteria,GCF_014058425.1
2751171,Synechococcus sp. HK01-R,2751171,Synechococcus sp. HK01-R,Bacteria,GCF_014217855.1
202,Campylobacter mucosalis,202,Campylobacter mucosalis,Bacteria,GCF_012978755.1
2565914,Enterobacter sp. 18A13,2565914,Enterobacter sp. 18A13,Bacteria,GCF_007035975.1
2663020,Sulfolobus sp. E11-6,2663020,Sulfolobus sp. E11-6,Archaea,GCF_009602405.1
42817,Corynebacterium argentoratense,42817,Corynebacterium argentoratense,Bacteria,GCF_000971865.1
877500,Arcobacter anaerophilus,877500,Arcobacter anaerophilus,Bacteria,GCF_004116345.1
293371,Lactobacillus oligofermentans,293371,Lactobacillus oligofermentans,Bacteria,GCF_001434315.1
2751189,Streptomyces sp. NEAU-sy36,2751189,Streptomyces sp. NEAU-sy36,Bacteria,GCF_013423905.1
2778078,Corynebacterium sp. FDAARGOS 1242,2778078,Corynebacterium sp. FDAARGOS 1242,Bacteria,GCF_016889985.1
1932360,Halorientalis sp. IM1011,1932360,Halorientalis sp. IM1011,Archaea,GCF_001989615.1
2060726,Neorhizobium sp. SOG26,2060726,Neorhizobium sp. SOG26,Bacteria,GCF_003491345.1
755307,Salinigranum rubrum,755307,Salinigranum rubrum,Archaea,GCF_002906575.1
34021,Candidatus Liberibacter asiaticus,34021,Candidatus Liberibacter asiaticus,Bacteria,GCF_013778575.1
1661694,Streptomyces sp. Tue 6075,1661694,Streptomyces sp. Tue 6075,Bacteria,GCF_001931635.1
571,Klebsiella oxytoca,571,Klebsiella oxytoca,Bacteria,GCF_003201885.1
68214,Streptomyces griseochromogenes,68214,Streptomyces griseochromogenes,Bacteria,GCF_001542625.1
2730360,Halomonas sp. PGE1,2730360,Halomonas sp. PGE1,Bacteria,GCF_013000985.1
2698458,Nibribacter ruber,2698458,Nibribacter ruber,Bacteria,GCF_009913235.1
125593,Wolbachia endosymbiont of Trichogramma pretiosum,125593,Wolbachia endosymbiont of Trichogramma pretiosum,Bacteria,GCF_001439985.1
1907,Streptomyces glaucescens,1907,Streptomyces glaucescens,Bacteria,GCF_000761215.1
1749259,Marinobacter sp. LQ44,1749259,Marinobacter sp. LQ44,Bacteria,GCF_001447155.2
2744027,Flavobacteriaceae bacterium RR4-40,2744027,Flavobacteriaceae bacterium RR4-40,Bacteria,GCA_011044175.1
767892,Candidatus Puniceispirillum marinum,767892,Candidatus Puniceispirillum marinum,Bacteria,GCF_000024465.1
1592790,Sphingobium phenoxybenzoativorans,1592790,Sphingobium phenoxybenzoativorans,Bacteria,GCF_001757355.1
33047,Bartonella vinsonii,33047,Bartonella vinsonii,Bacteria,GCF_900638635.1
2768069,Streptomyces sp. CRXT-Y-14,2768069,Streptomyces sp. CRXT-Y-14,Bacteria,GCF_014621695.1
2774137,Devosia sp. LEGU1,2774137,Devosia sp. LEGU1,Bacteria,GCF_016698665.1
1850250,Rhodobacter sp. LPB0142,1850250,Rhodobacter sp. LPB0142,Bacteria,GCF_001856665.1
1610493,Tessaracoccus flavus,1610493,Tessaracoccus flavus,Bacteria,GCF_001997295.1
2220095,Cryobacterium soli,2220095,Cryobacterium soli,Bacteria,GCF_003611035.1
80849,Wolbachia endosymbiont of Brugia malayi,80849,Wolbachia endosymbiont of Brugia malayi,Bacteria,GCF_004795935.1
1560339,Enterobacter sp. E20,1560339,Enterobacter sp. E20,Bacteria,GCF_000801755.2
116090,Caloranaerobacter azorensis,116090,Caloranaerobacter azorensis,Bacteria,GCF_010669085.1
47883,Pseudomonas synxantha,47883,Pseudomonas synxantha,Bacteria,GCA_018310475.1
2017485,Brachybacterium avium,2017485,Brachybacterium avium,Bacteria,GCF_002216795.1
2831149,,,,,GCF_018310575.1
1486034,Lacinutrix venerupis,1486034,Lacinutrix venerupis,Bacteria,GCF_001971745.1
1765967,Acidihalobacter ferrooxydans,1765967,Acidihalobacter ferrooxydans,Bacteria,GCF_001975725.1
191579,Fluviicola taffensis,191579,Fluviicola taffensis,Bacteria,GCF_000194605.1
870,Dichelobacter nodosus,870,Dichelobacter nodosus,Bacteria,GCF_004684815.1
2563602,Streptomyces sp. SS52,2563602,Streptomyces sp. SS52,Bacteria,GCF_004795715.1
117567,Mycolicibacterium frederiksbergense,117567,Mycolicibacterium frederiksbergense,Bacteria,GCF_012223425.1
84135,Gemella sanguinis,84135,Gemella sanguinis,Bacteria,GCF_001052115.1
2594005,Thalassotalea sp. PS06,2594005,Thalassotalea sp. PS06,Bacteria,GCF_007197775.1
225992,Comamonas kerstersii,225992,Comamonas kerstersii,Bacteria,GCF_002056725.1
1904944,Stenotrophomonas sp. LM091,1904944,Stenotrophomonas sp. LM091,Bacteria,GCF_001806305.1
406552,Natrinema sp. J7-2,406552,Natrinema sp. J7-2,Archaea,GCF_000281695.1
2527968,Aureliella helgolandensis,2527968,Aureliella helgolandensis,Bacteria,GCF_007752135.1
2675711,Klebsiella sp. WP3-S18-ESBL-05,2675711,Klebsiella sp. WP3-S18-ESBL-05,Bacteria,GCF_014168915.1
676,Vibrio fluvialis,676,Vibrio fluvialis,Bacteria,GCF_011440455.1
1690220,Phycicoccus endophyticus,1690220,Phycicoccus endophyticus,Bacteria,GCF_014646175.1
2806552,,,,,GCF_017309095.1
1497,Clostridium formicaceticum,1497,Clostridium formicaceticum,Bacteria,GCF_001854185.1
1402135,Sulfitobacter pseudonitzschiae,1402135,Sulfitobacter pseudonitzschiae,Bacteria,GCF_900129395.1
2072936,Sphingobium sp. SCG-1,2072936,Sphingobium sp. SCG-1,Bacteria,GCF_002953135.1
2747372,Enterobacter sp. DSM 30060,2747372,Enterobacter sp. DSM 30060,Bacteria,GCF_013375955.1
2741720,Rhodoferax sp. BAB1,2741720,Rhodoferax sp. BAB1,Bacteria,GCF_013334205.1
1536648,Dehalogenimonas sp. GP,1536648,Dehalogenimonas sp. GP,Bacteria,GCF_014672715.2
33968,Leuconostoc pseudomesenteroides,33968,Leuconostoc pseudomesenteroides,Bacteria,GCF_014634725.1
2654325,Flavobacterium sp. xlx-214,2654325,Flavobacterium sp. xlx-214,Bacteria,GCF_011007495.1
712471,Prevotella sp. oral taxon 475,712471,Prevotella sp. oral taxon 475,Bacteria,GCF_018127805.1
38303,Corynebacterium pseudogenitalium,38303,Corynebacterium pseudogenitalium,Bacteria,GCF_000156615.2
1281,Staphylococcus carnosus,1281,Staphylococcus carnosus,Bacteria,GCF_001276205.1
1888915,Polaribacter haliotis,1888915,Polaribacter haliotis,Bacteria,GCF_014784055.1
1287640,Anaerococcus obesiensis,1287640,Anaerococcus obesiensis,Bacteria,GCF_016599815.1
1390185,Pseudoalteromonas sp. DL-6,1390185,Pseudoalteromonas sp. DL-6,Bacteria,GCF_004328665.1
209247,Nocardia yamanashiensis,209247,Nocardia yamanashiensis,Bacteria,GCF_001613325.1
330922,Psychrobacter cryohalolentis,330922,Psychrobacter cryohalolentis,Bacteria,GCF_002208765.2
1231000,Corynebacterium lactis,1231000,Corynebacterium lactis,Bacteria,GCF_900519355.1
449,Legionella hackeliae,449,Legionella hackeliae,Bacteria,GCF_001467705.1
158877,Yokenella regensburgei,158877,Yokenella regensburgei,Bacteria,GCF_003634235.1
2100422,Idiomarina sp. OT37-5b,2100422,Idiomarina sp. OT37-5b,Bacteria,GCF_002968395.1
754476,Methylophaga nitratireducenticrescens,754476,Methylophaga nitratireducenticrescens,Bacteria,GCF_002952115.1
2203,Methanospirillum hungatei,2203,Methanospirillum hungatei,Archaea,GCA_019263745.1
2686094,Terricaulis silvestris,2686094,Terricaulis silvestris,Bacteria,GCF_009792355.1
2801033,,,,,GCF_017358145.1
633,Yersinia pseudotuberculosis,633,Yersinia pseudotuberculosis,Bacteria,GCF_000834435.1
1431246,Mycolicibacterium anyangense,1431246,Mycolicibacterium anyangense,Bacteria,GCF_010731855.1
36808,Corynebacterium bovis,36808,Corynebacterium bovis,Bacteria,GCF_003932295.1
1613,Limosilactobacillus fermentum,1613,Limosilactobacillus fermentum,Bacteria,GCF_001010185.1
1400864,Synechococcus sp. BIOS-E4-1,1400864,Synechococcus sp. BIOS-E4-1,Bacteria,GCF_014279995.1
1908,Streptomyces globisporus,1908,Streptomyces globisporus,Bacteria,GCF_003501885.1
105560,Methylibium petroleiphilum,105560,Methylibium petroleiphilum,Bacteria,GCA_017306535.1
40989,Saccharomonospora cyanea,40989,Saccharomonospora cyanea,Bacteria,GCF_000244975.1
198620,Pseudomonas koreensis,198620,Pseudomonas koreensis,Bacteria,GCF_007829275.1
309868,Candidatus Liberibacter americanus,309868,Candidatus Liberibacter americanus,Bacteria,GCF_000350385.1
263819,Yersinia aleksiciae,263819,Yersinia aleksiciae,Bacteria,GCF_001047675.1
1982042,Tsuneonella mangrovi,1982042,Tsuneonella mangrovi,Bacteria,GCF_002269345.1
2672569,Microlunatus sp. Gsoil 973,2672569,Microlunatus sp. Gsoil 973,Bacteria,GCF_009707365.1
1578828,Edwardsiella sp. EA181011,1578828,Edwardsiella sp. EA181011,Bacteria,GCF_000800725.1
153493,Conchiformibius steedae,153493,Conchiformibius steedae,Bacteria,GCF_003860055.1
39669,Methanosalsum zhilinae,39669,Methanosalsum zhilinae,Archaea,GCF_000217995.1
43770,Corynebacterium striatum,43770,Corynebacterium striatum,Bacteria,GCF_002803965.1
318424,Mycolicibacterium rufum,318424,Mycolicibacterium rufum,Bacteria,GCA_000762985.1
2815309,,,,,GCF_017338855.1
199596,Methylocella silvestris,199596,Methylocella silvestris,Bacteria,GCF_002891535.1
171285,Mycoplasma glycophilum,171285,Mycoplasma glycophilum,Bacteria,GCF_900660605.1
1930274,Planctomycetes bacterium FF011L,1930274,Planctomycetes bacterium FF011L,Bacteria,GCA_007741495.1
1295609,Thermodesulfobacterium geofontis,1295609,Thermodesulfobacterium geofontis,Bacteria,GCA_011361985.1
2480625,Plantibacter sp. PA-3-X8,2480625,Plantibacter sp. PA-3-X8,Bacteria,GCF_003856975.1
2170729,Methyloceanibacter sp. wino2,2170729,Methyloceanibacter sp. wino2,Bacteria,GCF_003071365.1
80842,Herbaspirillum rubrisubalbicans,80842,Herbaspirillum rubrisubalbicans,Bacteria,GCF_003719195.1
914153,Salinimonas lutimaris,914153,Salinimonas lutimaris,Bacteria,GCF_005222225.1
108010,Thioalkalivibrio paradoxus,108010,Thioalkalivibrio paradoxus,Bacteria,GCA_011390565.1
553982,Chromatiaceae bacterium NZ,553982,Chromatiaceae bacterium NZ,Bacteria,GCF_018409545.1
2511069,Synechococcus sp. RSCCF101,2511069,Synechococcus sp. RSCCF101,Bacteria,GCF_008807075.1
1337936,Calothrix sp. 336/3,1337936,Calothrix sp. 336/3,Bacteria,GCF_000734895.2
176102,Pseudoalteromonas agarivorans,176102,Pseudoalteromonas agarivorans,Bacteria,GCF_003668795.1
414778,Planococcus donghaensis,414778,Planococcus donghaensis,Bacteria,GCF_001687665.2
2816475,,,,,GCF_017352155.1
152682,Sphingomonas melonis,152682,Sphingomonas melonis,Bacteria,GCF_000878375.1
2742647,Citrobacter sp. RHBSTW-00424,2742647,Citrobacter sp. RHBSTW-00424,Bacteria,GCF_013741155.1
195,Campylobacter coli,195,Campylobacter coli,Bacteria,GCF_001579505.1
221352,Synechococcus sp. RS9909,221352,Synechococcus sp. RS9909,Bacteria,GCF_014279595.1
81947,Vagococcus lutrae,81947,Vagococcus lutrae,Bacteria,GCF_016760265.1
2841063,,,,,GCF_016772395.1
1267766,Altererythrobacter atlanticus,1267766,Altererythrobacter atlanticus,Bacteria,GCF_001008165.2
1812111,Wolbachia endosymbiont of Cruorifilaria tuberocauda,1812111,Wolbachia endosymbiont of Cruorifilaria tuberocauda,Bacteria,GCF_013365475.1
1532023,Qipengyuania sediminis,1532023,Qipengyuania sediminis,Bacteria,GCF_004358425.1
2812658,,,,,GCF_016919705.1
2675779,Enterobacteriaceae endosymbiont of Donacia marginata,2675779,Enterobacteriaceae endosymbiont of Donacia marginata,Bacteria,GCF_012567685.1
