nid,strain_name,specie_id,specie_name,k
359919,Spodoptera litura granulovirus,359919,Spodoptera litura granulovirus,Viruses
2733956,Ralstonia virus ITL1,2733956,Ralstonia virus ITL1,Viruses
2961531,,,,
1986019,Simian mastadenovirus F,1986019,Simian mastadenovirus F,Viruses
2907343,,,,
2886932,,,,
2843638,,,,
1914895,Cronobacter virus GAP31,1914895,Cronobacter virus GAP31,Viruses
491893,Abalone shriveling syndrome-associated virus,491893,Abalone shriveling syndrome-associated virus,Viruses
2946555,,,,
5518,Fusarium graminearum,5518,Fusarium graminearum,Eukaryota
2955739,,,,
83191,Melanoplus sanguinipes entomopoxvirus,83191,Melanoplus sanguinipes entomopoxvirus,Viruses
2845441,,,,
114883,Mycoplasma equigenitalium,114883,Mycoplasma equigenitalium,Bacteria
2843767,,,,
2956099,,,,
2920386,,,,
2895286,,,,
464988,Hemiselmis andersenii,464988,Hemiselmis andersenii,Eukaryota
2846064,,,,
2864207,,,,
129956,Murine mastadenovirus A,129956,Murine mastadenovirus A,Viruses
1923717,Wuhan insect virus 13,1923717,Wuhan insect virus 13,Viruses
2872652,,,,
12178,Cymbidium mosaic virus,12178,Cymbidium mosaic virus,Viruses
2923363,,,,
1327937,Mycobacterium phage Phaux,1327937,Mycobacterium phage Phaux,Viruses
2963432,,,,
45285,Eremothecium cymbalariae,45285,Eremothecium cymbalariae,Eukaryota
2955562,,,,
2942204,,,,
700220,Blochmannia endosymbiont of Camponotus sp.,700220,Blochmannia endosymbiont of Camponotus sp.,Bacteria
2929795,,,,
1921130,Listeria virus P70,1921130,Listeria virus P70,Viruses
2734262,Faecalibacterium virus Oengus,2734262,Faecalibacterium virus Oengus,Viruses
72638,Streptococcus virus Sfi19,72638,Streptococcus virus Sfi19,Viruses
94643,Besnoitia besnoiti,94643,Besnoitia besnoiti,Eukaryota
2962659,,,,
5499,Passalora fulva,5499,Passalora fulva,Eukaryota
162425,Aspergillus nidulans,162425,Aspergillus nidulans,Eukaryota
2775404,,,,
2833628,,,,
2734572,Western kangaroopox virus,2734572,Western kangaroopox virus,Viruses
5661,Leishmania donovani,5661,Leishmania donovani,Eukaryota
2895496,,,,
2734117,Salmonella virus ZCSE2,2734117,Salmonella virus ZCSE2,Viruses
2956661,,,,
2734375,Muir barhavirus,2734375,Muir barhavirus,Viruses
2949635,,,,
2869555,,,,
2859227,,,,
2955497,,,,
2734044,Enterococcus virus EFP01,2734044,Enterococcus virus EFP01,Viruses
2886044,,,,
2884482,,,,
2945589,,,,
2939415,,,,
1763998,Rheinheimera sp. F8,1763998,Rheinheimera sp. F8,Bacteria
1981167,Escherichia virus 191,1981167,Escherichia virus 191,Viruses
2951804,,,,
2949307,,,,
2560400,Cronobacter virus GAP32,2560400,Cronobacter virus GAP32,Viruses
2894202,,,,
2929796,,,,
2851015,,,,
2913495,,,,
2170200,Spider monkey simian foamy virus,2170200,Spider monkey simian foamy virus,Viruses
2895493,,,,
2963105,,,,
2876939,,,,
2918527,,,,
2852099,,,,
2864209,,,,
2861799,,,,
2283236,Aplysia californica nido-like virus,2283236,Aplysia californica nido-like virus,Viruses
2843645,,,,
1431460,Hunnivirus A,1431460,Hunnivirus A,Viruses
1357074,Pseudomonas sp. LS44,1357074,Pseudomonas sp. LS44,Bacteria
1527536,Mycobacterium phage Trike,1527536,Mycobacterium phage Trike,Viruses
2898483,,,,
2955384,,,,
1982078,Arthrobacter virus DrRobert,1982078,Arthrobacter virus DrRobert,Viruses
2918171,,,,
2904253,,,,
2908842,,,,
2864203,,,,
2942449,,,,
2909672,,,,
2419844,Xanthobacter sp. YC-JY1,2419844,Xanthobacter sp. YC-JY1,Bacteria
42260,Zygotorulaspora mrakii,42260,Zygotorulaspora mrakii,Eukaryota
2919598,,,,
2015370,Bat mastadenovirus C,2015370,Bat mastadenovirus C,Viruses
1643513,Treponema sp. OMZ 857,1643513,Treponema sp. OMZ 857,Bacteria
2883169,,,,
2886821,,,,
2861765,,,,
2890321,,,,
566270,Spodoptera litura nucleopolyhedrovirus II,566270,Spodoptera litura nucleopolyhedrovirus II,Viruses
2861285,,,,
1286698,Crassaminicella profunda,1286698,Crassaminicella profunda,Bacteria
2956691,,,,
2733576,Proteus virus PM116,2733576,Proteus virus PM116,Viruses
2956668,,,,
28288,Hyphantria cunea nucleopolyhedrovirus,28288,Hyphantria cunea nucleopolyhedrovirus,Viruses
2846436,,,,
1578925,Pyricularia pennisetigena,1578925,Pyricularia pennisetigena,Eukaryota
2879114,,,,
2734145,Synechococcus virus ST4,2734145,Synechococcus virus ST4,Viruses
2480175,Elicom virus 1,2480175,Elicom virus 1,Viruses
2956180,,,,
2906798,,,,
2929802,,,,
2884875,,,,
2953997,,,,
2976983,,,,
2733603,Klebsiella virus KpV48,2733603,Klebsiella virus KpV48,Viruses
28874,Volepox virus,28874,Volepox virus,Viruses
2878545,,,,
455364,Chrysochromulina ericina virus,455364,Chrysochromulina ericina virus,Viruses
1960249,Suid gammaherpesvirus 3,1960249,Suid gammaherpesvirus 3,Viruses
2770788,,,,
2845079,,,,
1959930,Bat sapovirus,1959930,Bat sapovirus,Viruses
1389020,Agromyces marinus,1389020,Agromyces marinus,Bacteria
2884264,,,,
2782609,,,,
2955533,,,,
2779363,,,,
1857890,Staphylococcus virus Remus,1857890,Staphylococcus virus Remus,Viruses
2830994,,,,
1922549,Beihai picorna-like virus 120,1922549,Beihai picorna-like virus 120,Viruses
311808,Arthrobacter sp. 68b,311808,Arthrobacter sp. 68b,Bacteria
1660063,Campylobacter sp. RM16187,1660063,Campylobacter sp. RM16187,Bacteria
1546257,Tipula oleracea nudivirus,1546257,Tipula oleracea nudivirus,Viruses
2560335,Bacillus virus SIOphi,2560335,Bacillus virus SIOphi,Viruses
2955992,,,,
2955550,,,,
1981026,Escherichia virus YD2008s,1981026,Escherichia virus YD2008s,Viruses
2067959,,,,
435905,Microbulbifer celer,435905,Microbulbifer celer,Bacteria
65068,Peach rosette mosaic virus,65068,Peach rosette mosaic virus,Viruses
12262,Red clover mottle virus,12262,Red clover mottle virus,Viruses
2864204,,,,
1702097,Saccharolobus caldissimus,1702097,Saccharolobus caldissimus,Archaea
5833,Plasmodium falciparum,5833,Plasmodium falciparum,Eukaryota
117187,Fusarium verticillioides,117187,Fusarium verticillioides,Eukaryota
1883371,Erwinia phage vB_EamM_ChrisDB,1883371,Erwinia phage vB_EamM_ChrisDB,Viruses
2989821,,,,
2976335,,,,
2955582,,,,
2795216,,,,
2853159,,,,
2865832,,,,
2865840,,,,
1282863,Uruburuella testudinis,1282863,Uruburuella testudinis,Bacteria
2992805,,,,
1923617,Wenzhou picorna-like virus 31,1923617,Wenzhou picorna-like virus 31,Viruses
2956030,,,,
2984530,,,,
114186,Candidatus Carsonella ruddii,114186,Candidatus Carsonella ruddii,Bacteria
2973976,,,,
2843897,,,,
2916755,,,,
1647476,Tsukamurella phage TPA4,1647476,Tsukamurella phage TPA4,Viruses
2986830,,,,
2938695,,,,
2970925,,,,
1720526,Golden Marseillevirus,1720526,Golden Marseillevirus,Viruses
2942997,,,,
2898076,,,,
1416334,Lactobacillus phage phi jlb1,1416334,Lactobacillus phage phi jlb1,Viruses
418827,Yambean mosaic virus,418827,Yambean mosaic virus,Viruses
2867013,,,,
2968086,,,,
2929492,,,,
2778876,,,,
2759528,Chryseobacterium sp. DH-B6,2759528,Chryseobacterium sp. DH-B6,Bacteria
262175,Plodia interpunctella granulovirus,262175,Plodia interpunctella granulovirus,Viruses
2560495,Gordonia virus GMA6,2560495,Gordonia virus GMA6,Viruses
2983299,,,,
1176736,Pitaya virus X,1176736,Pitaya virus X,Viruses
2925318,,,,
2955990,,,,
2992843,,,,
2949996,,,,
68232,Streptomyces lusitanus,68232,Streptomyces lusitanus,Bacteria
2897332,,,,
2834459,,,,
2861282,,,,
2841037,,,,
2898151,,,,
2770786,,,,
1982895,Streptomyces virus phiHau3,1982895,Streptomyces virus phiHau3,Viruses
45286,Eremothecium sinecaudum,45286,Eremothecium sinecaudum,Eukaryota
1904881,Macroptilium common mosaic virus,1904881,Macroptilium common mosaic virus,Viruses
2884455,,,,
1922529,Beihai picorna-like virus 101,1922529,Beihai picorna-like virus 101,Viruses
2879617,,,,
381899,Paramecium bursaria Chlorella virus A1,381899,Paramecium bursaria Chlorella virus A1,Viruses
2823043,,,,
1923230,Hubei sobemo-like virus 42,1923230,Hubei sobemo-like virus 42,Viruses
462710,Microbacterium binotii,462710,Microbacterium binotii,Bacteria
2781978,,,,
2691580,Prevotella sp. Rep29,2691580,Prevotella sp. Rep29,Bacteria
756275,Synechococcus phage S-CBS4,756275,Synechococcus phage S-CBS4,Viruses
2170064,Mahlapitsi orthoreovirus,2170064,Mahlapitsi orthoreovirus,Viruses
2895485,,,,
2169990,Erwinia virus Machina,2169990,Erwinia virus Machina,Viruses
2895487,,,,
2039234,Halobacterium litoreum,2039234,Halobacterium litoreum,Archaea
2954053,,,,
204269,Great Island virus,204269,Great Island virus,Viruses
2918170,,,,
47989,Dactylosporangium roseum,47989,Dactylosporangium roseum,Bacteria
2878678,,,,
1344094,Pseudomonas sp. HN11,1344094,Pseudomonas sp. HN11,Bacteria
2759692,Streptococcus sp. Marseille-Q3533,2759692,Streptococcus sp. Marseille-Q3533,Bacteria
2738983,,,,
2955553,,,,
2845108,,,,
122368,Cercospora beticola,122368,Cercospora beticola,Eukaryota
1720498,Escherichia phage slur05,1720498,Escherichia phage slur05,Viruses
5007,Brettanomyces bruxellensis,5007,Brettanomyces bruxellensis,Eukaryota
2704653,,,,
1923134,Hubei picorna-like virus 52,1923134,Hubei picorna-like virus 52,Viruses
2560792,Streptomyces virus Scap1,2560792,Streptomyces virus Scap1,Viruses
2843723,,,,
2734244,Eggerthella virus PMBT5,2734244,Eggerthella virus PMBT5,Viruses
2991054,,,,
5850,Plasmodium knowlesi,5850,Plasmodium knowlesi,Eukaryota
2883236,,,,
2878150,,,,
563172,Ferruginibacter lapsinanis,563172,Ferruginibacter lapsinanis,Bacteria
2928154,,,,
2895491,,,,
2560554,Listeria virus LMSP25,2560554,Listeria virus LMSP25,Viruses
2844300,,,,
113366,Heliothis virescens ascovirus 3a,113366,Heliothis virescens ascovirus 3a,Viruses
2844212,,,,
2908637,,,,
10264,Pigeonpox virus,10264,Pigeonpox virus,Viruses
2866588,,,,
747522,Dolichospermum heterosporum,747522,Dolichospermum heterosporum,Bacteria
2956278,,,,
2608402,Cellulomonas sp. EW123,2608402,Cellulomonas sp. EW123,Bacteria
2886936,,,,
2979331,,,,
2823905,,,,
5478,[Candida] glabrata,5478,[Candida] glabrata,Eukaryota
2954054,,,,
2843752,,,,
1306526,Paenibacillus sp. HWE-109,1306526,Paenibacillus sp. HWE-109,Bacteria
198832,Vibrio pomeroyi,198832,Vibrio pomeroyi,Bacteria
278860,Vibrio neonatus,278860,Vibrio neonatus,Bacteria
1982358,Pseudomonas virus PaMx74,1982358,Pseudomonas virus PaMx74,Viruses
2867022,,,,
2964669,,,,
2954040,,,,
2964606,,,,
1692254,Lytechinus variegatus variable sea urchin associated circular virus,1692254,Lytechinus variegatus variable sea urchin associated circular virus,Viruses
1985340,Klebsiella virus Miro,1985340,Klebsiella virus Miro,Viruses
1985326,Klebsiella virus JD18,1985326,Klebsiella virus JD18,Viruses
2911537,,,,
2966453,,,,
2883205,,,,
1711685,Atractylodes mild mottle virus,1711685,Atractylodes mild mottle virus,Viruses
2843721,,,,
1850906,Catopsilia pomona nucleopolyhedrovirus,1850906,Catopsilia pomona nucleopolyhedrovirus,Viruses
2952228,,,,
2590772,,,,
2875539,,,,
2936682,,,,
2897334,,,,
148305,Pyricularia grisea,148305,Pyricularia grisea,Eukaryota
2976533,,,,
2884834,,,,
11983,Norwalk virus,11983,Norwalk virus,Viruses
2864211,,,,
2923364,,,,
1345117,Candidatus Annandia pinicola,1345117,Candidatus Annandia pinicola,Bacteria
2613334,,,,
2560440,Escherichia virus Av05,2560440,Escherichia virus Av05,Viruses
2760705,,,,
1805956,Bacillus phage Zuko,1805956,Bacillus phage Zuko,Viruses
76775,Malassezia restricta,76775,Malassezia restricta,Eukaryota
2782686,,,,
2939414,,,,
2878152,,,,
55884,Enterobacteria phage SfV,55884,Enterobacteria phage SfV,Viruses
2857058,,,,
2963128,,,,
1248330,Lactobacillus sp. PC121B,1248330,Lactobacillus sp. PC121B,Bacteria
53359,Dactylosporangium fulvum,53359,Dactylosporangium fulvum,Bacteria
2956035,,,,
2879119,,,,
2560833,Vibrio virus VP4B,2560833,Vibrio virus VP4B,Viruses
28169,Vibrio pelagius,28169,Vibrio pelagius,Bacteria
1232493,Proteus sp. 3M,1232493,Proteus sp. 3M,Bacteria
2884022,,,,
2894156,,,,
2836368,,,,
2976236,,,,
2905121,,,,
2937801,,,,
2051906,Exiguobacterium sp. N4-1P,2051906,Exiguobacterium sp. N4-1P,Bacteria
2904790,,,,
2844233,,,,
2565531,Psychrobacter sp. PraFG1,2565531,Psychrobacter sp. PraFG1,Bacteria
2560590,Microbacterium virus Golden,2560590,Microbacterium virus Golden,Viruses
2782006,,,,
2867026,,,,
1821559,Gordonia phage Obliviate,1821559,Gordonia phage Obliviate,Viruses
1981020,Lactobacillus virus phiLdb,1981020,Lactobacillus virus phiLdb,Viruses
5888,Paramecium tetraurelia,5888,Paramecium tetraurelia,Eukaryota
2871487,,,,
2956318,,,,
1524881,Enterobacteria phage Sf101,1524881,Enterobacteria phage Sf101,Viruses
45406,Escherichia virus RB32,45406,Escherichia virus RB32,Viruses
2954063,,,,
552509,Leptopilina boulardi filamentous virus,552509,Leptopilina boulardi filamentous virus,Viruses
1751100,Flavobacterium sp. GENT11,1751100,Flavobacterium sp. GENT11,Bacteria
2977320,,,,
1854498,Chryseobacterium nepalense,1854498,Chryseobacterium nepalense,Bacteria
1750535,Fructilactobacillus ixorae,1750535,Fructilactobacillus ixorae,Bacteria
2860336,,,,
83442,Paramecium bursaria Chlorella virus NYs1,83442,Paramecium bursaria Chlorella virus NYs1,Viruses
4956,Zygosaccharomyces rouxii,4956,Zygosaccharomyces rouxii,Eukaryota
2025079,Torchivirus A,2025079,Torchivirus A,Viruses
2740529,Microvirga sp. R24,2740529,Microvirga sp. R24,Bacteria
2908837,,,,
936902,Micrococcus sp. MG-2010-D12,936902,Micrococcus sp. MG-2010-D12,Bacteria
2956039,,,,
2898149,,,,
2070759,Bacillus sp. MBGLi79,2070759,Bacillus sp. MBGLi79,Bacteria
2740837,,,,
2560706,Rhodococcus virus Weasel,2560706,Rhodococcus virus Weasel,Viruses
2733331,Pseudomonas virus Nerthus,2733331,Pseudomonas virus Nerthus,Viruses
2895495,,,,
2898441,,,,
10401,Ictalurid herpesvirus 1,10401,Ictalurid herpesvirus 1,Viruses
2782665,,,,
2955860,,,,
2945587,,,,
1628059,Sphingomonas sp. JE1,1628059,Sphingomonas sp. JE1,Bacteria
224399,Adoxophyes honmai nucleopolyhedrovirus,224399,Adoxophyes honmai nucleopolyhedrovirus,Viruses
2954056,,,,
2927876,,,,
2560269,Acinetobacter virus ME3,2560269,Acinetobacter virus ME3,Viruses
121627,Talaromyces rugulosus,121627,Talaromyces rugulosus,Eukaryota
2830998,,,,
12637,Dengue virus,12637,Dengue virus,Viruses
2721545,,,,
1985712,Acinetobacter virus Fri1,1985712,Acinetobacter virus Fri1,Viruses
2972479,,,,
2560286,Agrobacterium virus Atuph07,2560286,Agrobacterium virus Atuph07,Viruses
273371,Candida orthopsilosis,273371,Candida orthopsilosis,Eukaryota
374422,Streptomyces virus TG1,374422,Streptomyces virus TG1,Viruses
2734079,Synechococcus virus SShM2,2734079,Synechococcus virus SShM2,Viruses
129726,Pseudocowpox virus,129726,Pseudocowpox virus,Viruses
190061,Fowl aviadenovirus A,190061,Fowl aviadenovirus A,Viruses
2984842,,,,
2881056,,,,
299308,Methanofollis formosanus,299308,Methanofollis formosanus,Archaea
886980,Skua siadenovirus A,886980,Skua siadenovirus A,Viruses
2038343,Jatrophihabitans telluris,2038343,Jatrophihabitans telluris,Bacteria
2974039,,,,
2878151,,,,
2978392,,,,
1636200,Pseudoalteromonas phage H103,1636200,Pseudoalteromonas phage H103,Viruses
2734259,Escherichia virus EC2,2734259,Escherichia virus EC2,Viruses
2886940,,,,
2856555,,,,
2733982,,,,
2953753,,,,
399176,Sphingomonas sp. R1,399176,Sphingomonas sp. R1,Bacteria
942880,Rhodoluna sp. KAS3,942880,Rhodoluna sp. KAS3,Bacteria
4950,Torulaspora delbrueckii,4950,Torulaspora delbrueckii,Eukaryota
588726,Kazachstania naganishii,588726,Kazachstania naganishii,Eukaryota
2907534,,,,
2875540,,,,
2897181,,,,
2831966,,,,
2881052,,,,
1982588,Edwardsiella virus KF1,1982588,Edwardsiella virus KF1,Viruses
2810070,,,,
768738,Elephant endotheliotropic herpesvirus 5,768738,Elephant endotheliotropic herpesvirus 5,Viruses
159183,Lymphocystis disease virus 2,159183,Lymphocystis disease virus 2,Viruses
2914159,,,,
2932244,,,,
2867020,,,,
2843625,,,,
2949995,,,,
1980948,Arthrobacter virus Brent,1980948,Arthrobacter virus Brent,Viruses
2025349,,,,
627624,Nocardioides panacisoli,627624,Nocardioides panacisoli,Bacteria
2560562,Lonomia obliqua nucleopolyhedrovirus,2560562,Lonomia obliqua nucleopolyhedrovirus,Viruses
2893883,,,,
2059380,Flamingopox virus FGPVKD09,2059380,Flamingopox virus FGPVKD09,Viruses
2920382,,,,
646413,Streptococcus phage 5093,646413,Streptococcus phage 5093,Viruses
1498228,Rhizobium phage vB_RleM_PPF1,1498228,Rhizobium phage vB_RleM_PPF1,Viruses
2734263,Gordonia virus BrutonGaster,2734263,Gordonia virus BrutonGaster,Viruses
1511891,Adeno-associated dependoparvovirus A,1511891,Adeno-associated dependoparvovirus A,Viruses
2949993,,,,
2944252,,,,
1223565,Rhizobium sp. Pop5,1223565,Rhizobium sp. Pop5,Bacteria
2956283,,,,
5874,Theileria annulata,5874,Theileria annulata,Eukaryota
2955995,,,,
979525,Vibrio phage ICP1,979525,Vibrio phage ICP1,Viruses
2969431,,,,
2909249,,,,
137816,Nodularia sphaerocarpa,137816,Nodularia sphaerocarpa,Bacteria
2735562,,,,
2956042,,,,
2773709,,,,
150286,Anguillid herpesvirus 1,150286,Anguillid herpesvirus 1,Viruses
2674997,Tellurirhabdus rosea,2674997,Tellurirhabdus rosea,Bacteria
39444,Cotia virus,39444,Cotia virus,Viruses
2884833,,,,
2864201,,,,
1109711,Nocardia phage NBR1,1109711,Nocardia phage NBR1,Viruses
2801918,,,,
2955996,,,,
1449896,Uncultured phage WW-nAnB strain 2,1449896,Uncultured phage WW-nAnB strain 2,Viruses
1586232,Halovarius luteus,1586232,Halovarius luteus,Archaea
2782176,,,,
2902624,,,,
2782660,,,,
2919499,,,,
2846099,,,,
2961596,,,,
2989772,,,,
2925841,,,,
869888,Salinarchaeum laminariae,869888,Salinarchaeum laminariae,Archaea
447897,Mythimna unipuncta nucleopolyhedrovirus,447897,Mythimna unipuncta nucleopolyhedrovirus,Viruses
1487865,Halovivax cerinus,1487865,Halovivax cerinus,Archaea
2493633,Pseudomonas hydrolytica,2493633,Pseudomonas hydrolytica,Bacteria
166056,Epinotia aporema granulovirus,166056,Epinotia aporema granulovirus,Viruses
1367435,Alcaligenes sp. DN25,1367435,Alcaligenes sp. DN25,Bacteria
2795724,,,,
1442159,Streptomyces sp. 14R-10,1442159,Streptomyces sp. 14R-10,Bacteria
2886361,,,,
33169,Eremothecium gossypii,33169,Eremothecium gossypii,Eukaryota
1211644,Caulobacter virus Swift,1211644,Caulobacter virus Swift,Viruses
36035,Saccharomycodes ludwigii,36035,Saccharomycodes ludwigii,Eukaryota
176652,Invertebrate iridescent virus 6,176652,Invertebrate iridescent virus 6,Viruses
2802975,,,,
2866810,,,,
1980959,Escherichia virus JSE,1980959,Escherichia virus JSE,Viruses
1918720,Cellulophaga virus ST,1918720,Cellulophaga virus ST,Viruses
2282849,,,,
2925838,,,,
2996004,,,,
1655644,Parabacteroides phage YZ-2015a,1655644,Parabacteroides phage YZ-2015a,Viruses
322009,Corynebacterium cyclohexanicum,322009,Corynebacterium cyclohexanicum,Bacteria
2831895,,,,
235201,Lactobacillus virus phiJL1,235201,Lactobacillus virus phiJL1,Viruses
2844141,,,,
1179664,Mythimna separata entomopoxvirus,1179664,Mythimna separata entomopoxvirus,Viruses
2924034,,,,
657335,Rahnella sp. WMR114,657335,Rahnella sp. WMR114,Bacteria
2884874,,,,
322019,Acanthocystis turfacea chlorella virus 1,322019,Acanthocystis turfacea chlorella virus 1,Viruses
80884,Colletotrichum higginsianum,80884,Colletotrichum higginsianum,Eukaryota
83544,Chinese wheat mosaic virus,83544,Chinese wheat mosaic virus,Viruses
2986524,,,,
1941234,Thrips-associated genomovirus 2,1941234,Thrips-associated genomovirus 2,Viruses
170325,Canid alphaherpesvirus 1,170325,Canid alphaherpesvirus 1,Viruses
2954061,,,,
2870840,,,,
2904243,,,,
2885633,,,,
2961520,,,,
1923486,Wenling crustacean virus 3,1923486,Wenling crustacean virus 3,Viruses
2819619,,,,
2857061,,,,
2956586,,,,
2894755,,,,
208973,Choristoneura fumiferana multiple nucleopolyhedrovirus,208973,Choristoneura fumiferana multiple nucleopolyhedrovirus,Viruses
2886375,,,,
2968490,,,,
2989768,,,,
2831890,,,,
682410,Streptomyces sp. W9,682410,Streptomyces sp. W9,Bacteria
2879620,,,,
10288,Choristoneura biennis entomopoxvirus,10288,Choristoneura biennis entomopoxvirus,Viruses
1147144,Enterobacteria phage HK225,1147144,Enterobacteria phage HK225,Viruses
2907159,,,,
1283077,Pelagibacter phage HTVC010P,1283077,Pelagibacter phage HTVC010P,Viruses
2983842,,,,
1750598,Dissulfurimicrobium hydrothermale,1750598,Dissulfurimicrobium hydrothermale,Bacteria
56947,Choristoneura fumiferana granulovirus,56947,Choristoneura fumiferana granulovirus,Viruses
1980541,Insect inshuvirus,1980541,Insect inshuvirus,Viruses
2747931,Naples phlebovirus,2747931,Naples phlebovirus,Viruses
1541170,Sphingomonas morindae,1541170,Sphingomonas morindae,Bacteria
320432,Chrysodeixis chalcites nucleopolyhedrovirus,320432,Chrysodeixis chalcites nucleopolyhedrovirus,Viruses
2926907,,,,
5858,Plasmodium malariae,5858,Plasmodium malariae,Eukaryota
60877,Tonate virus,60877,Tonate virus,Viruses
2734134,Synechococcus virus Syn19,2734134,Synechococcus virus Syn19,Viruses
2908650,,,,
2911527,,,,
2929488,,,,
2782641,,,,
2931390,,,,
2976127,,,,
2734150,Faecalibacterium virus Toutatis,2734150,Faecalibacterium virus Toutatis,Viruses
2987701,,,,
2986924,,,,
101028,Fusarium pseudograminearum,101028,Fusarium pseudograminearum,Eukaryota
2509616,Homarus gammarus nudivirus,2509616,Homarus gammarus nudivirus,Viruses
2851648,,,,
2840180,,,,
2812896,,,,
2956047,,,,
596995,Bartonella sp. TT0105,596995,Bartonella sp. TT0105,Bacteria
10497,African swine fever virus,10497,African swine fever virus,Viruses
555573,Salarchaeum japonicum,555573,Salarchaeum japonicum,Archaea
1705399,Hymenobacter monticola,1705399,Hymenobacter monticola,Bacteria
2830997,,,,
447588,Dechloromonas sp. A34,447588,Dechloromonas sp. A34,Bacteria
1972625,Parry Creek hapavirus,1972625,Parry Creek hapavirus,Viruses
2967302,,,,
2871493,,,,
2747309,Glossina hytrosavirus,2747309,Glossina hytrosavirus,Viruses
2969672,,,,
2745561,,,,
1229164,Sphingomicrobium flavum,1229164,Sphingomicrobium flavum,Bacteria
2964610,,,,
2867024,,,,
1678078,Mollivirus sibericum,1678078,Mollivirus sibericum,Viruses
2963940,,,,
1987942,Escherichia virus SU10,1987942,Escherichia virus SU10,Viruses
2822761,,,,
2904523,,,,
2830782,,,,
1150991,Sphingomonas phage PAU,1150991,Sphingomonas phage PAU,Viruses
2955762,,,,
2993656,,,,
2560298,Arthrobacter virus Abidatro,2560298,Arthrobacter virus Abidatro,Viruses
2956699,,,,
1074044,uncultured phage WW-nAnB,1074044,uncultured phage WW-nAnB,Viruses
2789739,,,,
2819104,,,,
2955998,,,,
2734254,Microbacterium virus Metamorphoo,2734254,Microbacterium virus Metamorphoo,Viruses
44689,Dictyostelium discoideum,44689,Dictyostelium discoideum,Eukaryota
2961597,,,,
2738410,,,,
1436084,Streptomyces sp. F12,1436084,Streptomyces sp. F12,Bacteria
2906474,,,,
35241,Lactococcus phage Tuc2009,35241,Lactococcus phage Tuc2009,Viruses
53522,Thermobifida alba,53522,Thermobifida alba,Bacteria
37769,Cryptococcus gattii VGI,37769,Cryptococcus gattii VGI,Eukaryota
2923272,,,,
2954006,,,,
2873296,,,,
2956014,,,,
319947,Streptomyces durmitorensis,319947,Streptomyces durmitorensis,Bacteria
33865,Methanoplanus endosymbiosus,33865,Methanoplanus endosymbiosus,Archaea
2831893,,,,
2897342,,,,
2734116,Synechococcus virus SSKS1,2734116,Synechococcus virus SSKS1,Viruses
2967300,,,,
1859492,Kaumoebavirus,1859492,Kaumoebavirus,Viruses
599,Salmonella sp.,599,Salmonella sp.,Bacteria
2733989,Salmonella virus S131,2733989,Salmonella virus S131,Viruses
