nid,strain_name,specie_id,specie_name,k
1245890,Escherichia virus JL1,1245890,Escherichia virus JL1,Viruses
2563668,,,,
2590772,,,,
2945589,,,,
1980948,Arthrobacter virus Brent,1980948,Arthrobacter virus Brent,Viruses
1983750,Mycobacterium virus Bongo,1983750,Mycobacterium virus Bongo,Viruses
552525,Bacillus virus IEBH,552525,Bacillus virus IEBH,Viruses
1922529,Beihai picorna-like virus 101,1922529,Beihai picorna-like virus 101,Viruses
2887345,,,,
1923230,Hubei sobemo-like virus 42,1923230,Hubei sobemo-like virus 42,Viruses
2734096,Faecalibacterium virus Brigit,2734096,Faecalibacterium virus Brigit,Viruses
2929798,,,,
2831895,,,,
2870750,,,,
10397,Tupaiid betaherpesvirus 1,10397,Tupaiid betaherpesvirus 1,Viruses
1542730,Frateuria sp. 5GH9-11,1542730,Frateuria sp. 5GH9-11,Bacteria
2060973,Purpureocillium takamizusanense,2060973,Purpureocillium takamizusanense,Eukaryota
2733976,Pectobacterium virus PM1,2733976,Pectobacterium virus PM1,Viruses
2895487,,,,
2599805,Bradyrhizobium sp. SG09,2599805,Bradyrhizobium sp. SG09,Bacteria
161494,Antheraea pernyi nucleopolyhedrovirus,161494,Antheraea pernyi nucleopolyhedrovirus,Viruses
2560431,Enterococcus virus phiSHEF4,2560431,Enterococcus virus phiSHEF4,Viruses
2956041,,,,
2856523,,,,
2932249,,,,
375919,Wolbachia endosymbiont of Drosophila pseudotakahashii,375919,Wolbachia endosymbiont of Drosophila pseudotakahashii,Bacteria
2916802,,,,
2852099,,,,
2906062,,,,
2869549,,,,
1922598,Beihai picorna-like virus 53,1922598,Beihai picorna-like virus 53,Viruses
2829499,,,,
2844237,,,,
2733988,Salmonella virus NR01,2733988,Salmonella virus NR01,Viruses
2876190,,,,
2845422,,,,
2820002,,,,
2923279,,,,
2841283,,,,
2846668,,,,
2956206,,,,
2927875,,,,
2282206,Bufonid herpesvirus 1,2282206,Bufonid herpesvirus 1,Viruses
2845179,,,,
2859227,,,,
2864218,,,,
2779361,,,,
1720498,Escherichia phage slur05,1720498,Escherichia phage slur05,Viruses
2985571,,,,
2989818,,,,
2849039,,,,
333754,Alphapapillomavirus 10,333754,Alphapapillomavirus 10,Viruses
235201,Lactobacillus virus phiJL1,235201,Lactobacillus virus phiJL1,Viruses
2939494,,,,
96472,Thiothrix sp. CT3,96472,Thiothrix sp. CT3,Bacteria
2895476,,,,
2705471,,,,
2905871,,,,
2806346,,,,
2932258,,,,
2778876,,,,
2844218,,,,
2845149,,,,
2955511,,,,
458639,Bacillus phage 0305phi8-36,458639,Bacillus phage 0305phi8-36,Viruses
2962597,,,,
1921711,Bacillus virus Stahl,1921711,Bacillus virus Stahl,Viruses
2865832,,,,
2849641,,,,
2843721,,,,
2908210,,,,
2963406,,,,
2822842,,,,
2955844,,,,
2898149,,,,
28169,Vibrio pelagius,28169,Vibrio pelagius,Bacteria
2560413,Enseada orthobunyavirus,2560413,Enseada orthobunyavirus,Viruses
135742,Paracoccus methylutens,135742,Paracoccus methylutens,Bacteria
2864205,,,,
2894156,,,,
2733945,Pelagivirus S35C6,2733945,Pelagivirus S35C6,Viruses
2971912,,,,
2049890,Haloarcula virus HCIV1,2049890,Haloarcula virus HCIV1,Viruses
2560751,Serratia virus BF,2560751,Serratia virus BF,Viruses
2796927,,,,
2860286,,,,
190897,Vibrio gallicus,190897,Vibrio gallicus,Bacteria
2760705,,,,
1911006,Salmonella virus SP31,1911006,Salmonella virus SP31,Viruses
93944,Nonomuraea gerenzanensis,93944,Nonomuraea gerenzanensis,Bacteria
2840180,,,,
624134,Escherichia virus SSL2009a,624134,Escherichia virus SSL2009a,Viruses
2955550,,,,
1985180,Bacillus virus JBP901,1985180,Bacillus virus JBP901,Viruses
304399,Mule deerpox virus,304399,Mule deerpox virus,Viruses
155894,Chroococcidiopsis sp. CCMEE 29,155894,Chroococcidiopsis sp. CCMEE 29,Bacteria
2983606,,,,
2955861,,,,
2895496,,,,
53360,Dactylosporangium matsuzakiense,53360,Dactylosporangium matsuzakiense,Bacteria
2006134,Mycobacterium virus Bxz1,2006134,Mycobacterium virus Bxz1,Viruses
2872309,,,,
2991499,,,,
2932259,,,,
1954379,Shigella virus EP23,1954379,Shigella virus EP23,Viruses
68232,Streptomyces lusitanus,68232,Streptomyces lusitanus,Bacteria
10264,Pigeonpox virus,10264,Pigeonpox virus,Viruses
2874846,,,,
2862880,,,,
2691580,Prevotella sp. Rep29,2691580,Prevotella sp. Rep29,Bacteria
2560360,Burkholderia virus BcepNazgul,2560360,Burkholderia virus BcepNazgul,Viruses
28304,Murid betaherpesvirus 2,28304,Murid betaherpesvirus 2,Viruses
1346829,Peridroma alphabaculovirus,1346829,Peridroma alphabaculovirus,Viruses
2907534,,,,
2920939,,,,
11786,Murine leukemia virus,11786,Murine leukemia virus,Viruses
2878534,,,,
2919598,,,,
2509384,Spider shaspivirus,2509384,Spider shaspivirus,Viruses
2989817,,,,
2956034,,,,
393598,Aeromonas virus phiO18P,393598,Aeromonas virus phiO18P,Viruses
2845970,,,,
2875777,,,,
1442159,Streptomyces sp. 14R-10,1442159,Streptomyces sp. 14R-10,Bacteria
170617,Adoxophyes orana granulovirus,170617,Adoxophyes orana granulovirus,Viruses
2782176,,,,
2919578,,,,
99585,Frangipani mosaic virus,99585,Frangipani mosaic virus,Viruses
2956122,,,,
2107707,Pandoravirus macleodensis,2107707,Pandoravirus macleodensis,Viruses
2956042,,,,
1985326,Klebsiella virus JD18,1985326,Klebsiella virus JD18,Viruses
10654,Rice tungro bacilliform virus,10654,Rice tungro bacilliform virus,Viruses
10334,Felid alphaherpesvirus 1,10334,Felid alphaherpesvirus 1,Viruses
2560631,Pectobacterium virus My1,2560631,Pectobacterium virus My1,Viruses
2953890,,,,
1886606,Callistephus mottle virus,1886606,Callistephus mottle virus,Viruses
1923617,Wenzhou picorna-like virus 31,1923617,Wenzhou picorna-like virus 31,Viruses
90410,Streptococcus virus DT1,90410,Streptococcus virus DT1,Viruses
1918193,Cellulophaga virus Cba121,1918193,Cellulophaga virus Cba121,Viruses
2955969,,,,
2782213,,,,
2893886,,,,
463192,Desulfovibrio tunisiensis,463192,Desulfovibrio tunisiensis,Bacteria
150286,Anguillid herpesvirus 1,150286,Anguillid herpesvirus 1,Viruses
2775403,,,,
2835041,,,,
230871,Streptococcus virus C1,230871,Streptococcus virus C1,Viruses
2973977,,,,
2733331,Pseudomonas virus Nerthus,2733331,Pseudomonas virus Nerthus,Viruses
5861,Plasmodium yoelii,5861,Plasmodium yoelii,Eukaryota
2955344,,,,
2967301,,,,
2897342,,,,
2845153,,,,
2840468,,,,
2560610,Myodes narmovirus,2560610,Myodes narmovirus,Viruses
1074044,uncultured phage WW-nAnB,1074044,uncultured phage WW-nAnB,Viruses
2946605,,,,
114186,Candidatus Carsonella ruddii,114186,Candidatus Carsonella ruddii,Bacteria
72638,Streptococcus virus Sfi19,72638,Streptococcus virus Sfi19,Viruses
2782686,,,,
11676,Human immunodeficiency virus 1,11676,Human immunodeficiency virus 1,Viruses
755175,Shewanella seohaensis,755175,Shewanella seohaensis,Bacteria
2956131,,,,
2745562,,,,
96232,Legionella lytica,96232,Legionella lytica,Bacteria
2789739,,,,
2895559,,,,
2851015,,,,
2846435,,,,
2704655,,,,
2953997,,,,
2656521,Klebsiella virus UPM 2146,2656521,Klebsiella virus UPM 2146,Viruses
1561005,,,,
1498228,Rhizobium phage vB_RleM_PPF1,1498228,Rhizobium phage vB_RleM_PPF1,Viruses
979525,Vibrio phage ICP1,979525,Vibrio phage ICP1,Viruses
2908648,,,,
1981164,Escherichia virus Stx2 II,1981164,Escherichia virus Stx2 II,Viruses
5671,Leishmania infantum,5671,Leishmania infantum,Eukaryota
2509616,Homarus gammarus nudivirus,2509616,Homarus gammarus nudivirus,Viruses
2764185,Lysobacter sp. CJ11,2764185,Lysobacter sp. CJ11,Bacteria
2991075,,,,
2696560,Aquirufa sp. 9H-EGSE,2696560,Aquirufa sp. 9H-EGSE,Bacteria
1993867,Mycobacterium virus Trixie,1993867,Mycobacterium virus Trixie,Viruses
1389960,Exiguobacterium sp. S3-2,1389960,Exiguobacterium sp. S3-2,Bacteria
1985338,Klebsiella virus KP27,1985338,Klebsiella virus KP27,Viruses
369960,Porcine type-C oncovirus,369960,Porcine type-C oncovirus,Viruses
925984,Erwinia phage phiEt88,925984,Erwinia phage phiEt88,Viruses
94643,Besnoitia besnoiti,94643,Besnoitia besnoiti,Eukaryota
2983299,,,,
2923272,,,,
2819993,,,,
354328,Bell pepper alphaendornavirus,354328,Bell pepper alphaendornavirus,Viruses
2733350,Pseudomonas virus Ab05,2733350,Pseudomonas virus Ab05,Viruses
2953752,,,,
2975052,,,,
2597515,Bradyrhizobium sp. SEMIA,2597515,Bradyrhizobium sp. SEMIA,Bacteria
981330,Tsukamurella phage TPA2,981330,Tsukamurella phage TPA2,Viruses
2873296,,,,
2860337,,,,
2169688,Serratia virus IME250,2169688,Serratia virus IME250,Viruses
1560514,Melbournevirus,1560514,Melbournevirus,Viruses
2956099,,,,
575378,Sediminibacterium sp. TEGAF015,575378,Sediminibacterium sp. TEGAF015,Bacteria
1978543,Kumasi ledantevirus,1978543,Kumasi ledantevirus,Viruses
253701,Zygocactus virus X,253701,Zygocactus virus X,Viruses
2747931,Naples phlebovirus,2747931,Naples phlebovirus,Viruses
2872648,,,,
1109711,Nocardia phage NBR1,1109711,Nocardia phage NBR1,Viruses
2560567,Macacine betaherpesvirus 8,2560567,Macacine betaherpesvirus 8,Viruses
2795724,,,,
2817656,,,,
1510225,Halovenus salina,1510225,Halovenus salina,Archaea
555317,Phyllobacterium sp. T1293,555317,Phyllobacterium sp. T1293,Bacteria
2943498,,,,
181762,Psilocybe cubensis,181762,Psilocybe cubensis,Eukaryota
1472912,Nitrincola phage 1M3-16,1472912,Nitrincola phage 1M3-16,Viruses
2918170,,,,
1487865,Halovivax cerinus,1487865,Halovivax cerinus,Archaea
2844141,,,,
2850,Phaeodactylum tricornutum,2850,Phaeodactylum tricornutum,Eukaryota
760,Pasteurella stomatis,760,Pasteurella stomatis,Bacteria
2733999,Aeromonas virus AhSzw1,2733999,Aeromonas virus AhSzw1,Viruses
159183,Lymphocystis disease virus 2,159183,Lymphocystis disease virus 2,Viruses
40559,Botrytis cinerea,40559,Botrytis cinerea,Eukaryota
2951806,,,,
5660,Leishmania braziliensis,5660,Leishmania braziliensis,Eukaryota
2955750,,,,
2984951,,,,
2886940,,,,
2956046,,,,
2844163,,,,
2846436,,,,
2956233,,,,
2838850,,,,
2029293,Squirrelpox virus Berlin_2015,2029293,Squirrelpox virus Berlin_2015,Viruses
2897181,,,,
1546257,Tipula oleracea nudivirus,1546257,Tipula oleracea nudivirus,Viruses
2954008,,,,
265522,Hyposoter fugitivus ichnovirus,265522,Hyposoter fugitivus ichnovirus,Viruses
1416334,Lactobacillus phage phi jlb1,1416334,Lactobacillus phage phi jlb1,Viruses
2931983,,,,
2961597,,,,
2704651,,,,
929833,Rhizobium phage RR1-A,929833,Rhizobium phage RR1-A,Viruses
2560332,Bacillus virus Mater,2560332,Bacillus virus Mater,Viruses
2860336,,,,
2942449,,,,
2059380,Flamingopox virus FGPVKD09,2059380,Flamingopox virus FGPVKD09,Viruses
2560400,Cronobacter virus GAP32,2560400,Cronobacter virus GAP32,Viruses
1345117,Candidatus Annandia pinicola,1345117,Candidatus Annandia pinicola,Bacteria
27973,Encephalitozoon hellem,27973,Encephalitozoon hellem,Eukaryota
1983719,Bacillus shivajii,1983719,Bacillus shivajii,Bacteria
2833628,,,,
2883238,,,,
5860,Plasmodium vinckei,5860,Plasmodium vinckei,Eukaryota
2876193,,,,
2734188,Escherichia virus Skarpretter,2734188,Escherichia virus Skarpretter,Viruses
2841528,,,,
2560845,Xingshan alphanemrhavirus,2560845,Xingshan alphanemrhavirus,Viruses
2986833,,,,
2878915,,,,
2872154,,,,
2560642,Perigonia lusca nucleopolyhedrovirus,2560642,Perigonia lusca nucleopolyhedrovirus,Viruses
2898725,,,,
2919499,,,,
2866382,,,,
2819104,,,,
1096935,Veillonella sp. OK1,1096935,Veillonella sp. OK1,Bacteria
2704413,Lymphocystis disease virus 4,2704413,Lymphocystis disease virus 4,Viruses
2913495,,,,
2898431,,,,
2764705,,,,
413403,Vibrio rarus,413403,Vibrio rarus,Bacteria
1954378,Escherichia virus HK578,1954378,Escherichia virus HK578,Viruses
2304516,Culex-associated Tombus-like virus,2304516,Culex-associated Tombus-like virus,Viruses
2955553,,,,
92758,Mycoplasma fastidiosum,92758,Mycoplasma fastidiosum,Bacteria
2065053,Torque teno midi virus 12,2065053,Torque teno midi virus 12,Viruses
2844671,,,,
2912631,,,,
2733597,Shigella virus Buco,2733597,Shigella virus Buco,Viruses
2956062,,,,
2929481,,,,
2968083,,,,
2830782,,,,
1159556,Ustilaginoidea virens,1159556,Ustilaginoidea virens,Eukaryota
2940302,,,,
1560342,Acinetobacter phage YMC13/03/R2096,1560342,Acinetobacter phage YMC13/03/R2096,Viruses
2934340,,,,
37769,Cryptococcus gattii VGI,37769,Cryptococcus gattii VGI,Eukaryota
104388,Anatid alphaherpesvirus 1,104388,Anatid alphaherpesvirus 1,Viruses
2898581,,,,
182096,Aspergillus chevalieri,182096,Aspergillus chevalieri,Eukaryota
1908341,Polaribacter litorisediminis,1908341,Polaribacter litorisediminis,Bacteria
2018052,Candidatus Vallotia lariciata,2018052,Candidatus Vallotia lariciata,Bacteria
2955982,,,,
2937801,,,,
2938232,,,,
1306526,Paenibacillus sp. HWE-109,1306526,Paenibacillus sp. HWE-109,Bacteria
2938695,,,,
2734235,Colwellia virus 9A,2734235,Colwellia virus 9A,Viruses
2976237,,,,
430679,Nitratireductor kimnyeongensis,430679,Nitratireductor kimnyeongensis,Bacteria
97195,Heterosigma akashiwo virus 01,97195,Heterosigma akashiwo virus 01,Viruses
2980108,,,,
2989727,,,,
497967,Hymenobacter tibetensis,497967,Hymenobacter tibetensis,Bacteria
345198,Invertebrate iridescent virus 22,345198,Invertebrate iridescent virus 22,Viruses
2881056,,,,
2843634,,,,
1854498,Chryseobacterium nepalense,1854498,Chryseobacterium nepalense,Bacteria
2734259,Escherichia virus EC2,2734259,Escherichia virus EC2,Viruses
2908650,,,,
2083300,Diolcogaster facetosa bracovirus,2083300,Diolcogaster facetosa bracovirus,Viruses
1513213,Lepidopteran iteradensovirus 4,1513213,Lepidopteran iteradensovirus 4,Viruses
2907159,,,,
2734117,Salmonella virus ZCSE2,2734117,Salmonella virus ZCSE2,Viruses
179637,Halococcus dombrowskii,179637,Halococcus dombrowskii,Archaea
5007,Brettanomyces bruxellensis,5007,Brettanomyces bruxellensis,Eukaryota
1232493,Proteus sp. 3M,1232493,Proteus sp. 3M,Bacteria
2908645,,,,
2749995,,,,
1450746,Pithovirus sibericum,1450746,Pithovirus sibericum,Viruses
1541170,Sphingomonas morindae,1541170,Sphingomonas morindae,Bacteria
162425,Aspergillus nidulans,162425,Aspergillus nidulans,Eukaryota
2976335,,,,
2845452,,,,
120682,Treponema sp. OMZ 803,120682,Treponema sp. OMZ 803,Bacteria
2857060,,,,
2810348,,,,
55395,Bradyrhizobium sp. NC92,55395,Bradyrhizobium sp. NC92,Bacteria
2932250,,,,
2874628,,,,
1008152,Haladaptatus pallidirubidus,1008152,Haladaptatus pallidirubidus,Archaea
1105171,Bacteroides phage B124-14,1105171,Bacteroides phage B124-14,Viruses
2929490,,,,
1891728,Human polyomavirus 13,1891728,Human polyomavirus 13,Viruses
31535,Pseudomonas virus D3,31535,Pseudomonas virus D3,Viruses
2871694,,,,
2745558,,,,
2843681,,,,
2968831,,,,
36835,[Clostridium] colinum,36835,[Clostridium] colinum,Bacteria
2733576,Proteus virus PM116,2733576,Proteus virus PM116,Viruses
2893883,,,,
2869544,,,,
2661583,Candidatus Profftella armatura (Diaphorina cf. continua),2661583,Candidatus Profftella armatura (Diaphorina cf. continua),Bacteria
2756133,,,,
2845155,,,,
130309,Human mastadenovirus F,130309,Human mastadenovirus F,Viruses
2844208,,,,
869888,Salinarchaeum laminariae,869888,Salinarchaeum laminariae,Archaea
1933299,Watermelon bud necrosis tospovirus,1933299,Watermelon bud necrosis tospovirus,Viruses
1954380,Sodalis virus SO1,1954380,Sodalis virus SO1,Viruses
1002689,Occallatibacter riparius,1002689,Occallatibacter riparius,Bacteria
2979461,,,,
2734206,Lactobacillus virus Nyseid,2734206,Lactobacillus virus Nyseid,Viruses
2303411,Panax ginseng flexivirus 1,2303411,Panax ginseng flexivirus 1,Viruses
2955583,,,,
2933797,,,,
2956211,,,,
2856555,,,,
2956125,,,,
2072642,Paenibacillus sp. PK3_47,2072642,Paenibacillus sp. PK3_47,Bacteria
1705399,Hymenobacter monticola,1705399,Hymenobacter monticola,Bacteria
292029,Staphylococcus virus G1,292029,Staphylococcus virus G1,Viruses
2067959,,,,
2883127,,,,
2773709,,,,
2782662,,,,
1805956,Bacillus phage Zuko,1805956,Bacillus phage Zuko,Viruses
1883200,Escherichia phage Envy,1883200,Escherichia phage Envy,Viruses
1980541,Insect inshuvirus,1980541,Insect inshuvirus,Viruses
2815720,,,,
2950074,,,,
5827,Plasmodium cynomolgi,5827,Plasmodium cynomolgi,Eukaryota
2844358,,,,
5855,Plasmodium vivax,5855,Plasmodium vivax,Eukaryota
2560286,Agrobacterium virus Atuph07,2560286,Agrobacterium virus Atuph07,Viruses
1922998,Hubei odonate virus 3,1922998,Hubei odonate virus 3,Viruses
2955318,,,,
2961575,,,,
2909339,,,,
2895818,,,,
2918453,,,,
1980546,Cumuto goukovirus,1980546,Cumuto goukovirus,Viruses
1660078,Campylobacter sp. RM5004,1660078,Campylobacter sp. RM5004,Bacteria
191302,Devosia neptuniae,191302,Devosia neptuniae,Bacteria
2845481,,,,
2843752,,,,
2907205,,,,
929835,Vibrio phage pYD38-B,929835,Vibrio phage pYD38-B,Viruses
2955329,,,,
913970,Microviridae phi-CA82,913970,Microviridae phi-CA82,Viruses
2976983,,,,
2843896,,,,
35269,Woodchuck hepatitis virus,35269,Woodchuck hepatitis virus,Viruses
5811,Toxoplasma gondii,5811,Toxoplasma gondii,Eukaryota
2929492,,,,
2956784,,,,
1248330,Lactobacillus sp. PC121B,1248330,Lactobacillus sp. PC121B,Bacteria
2851650,,,,
1981027,Escherichia virus EK99P1,1981027,Escherichia virus EK99P1,Viruses
2831892,,,,
1933309,Oropouche orthobunyavirus,1933309,Oropouche orthobunyavirus,Viruses
1922928,Hubei mosquito virus 4,1922928,Hubei mosquito virus 4,Viruses
5821,Plasmodium berghei,5821,Plasmodium berghei,Eukaryota
1128151,Mimivirus terra2,1128151,Mimivirus terra2,Viruses
2956180,,,,
2903960,,,,
2879107,,,,
2945588,,,,
2734089,Pseudomonas virus PaBG,2734089,Pseudomonas virus PaBG,Viruses
2961895,,,,
2698683,,,,
2560335,Bacillus virus SIOphi,2560335,Bacillus virus SIOphi,Viruses
2961941,,,,
2913617,,,,
2560531,Isaria javanica chrysovirus,2560531,Isaria javanica chrysovirus,Viruses
2904242,,,,
331278,Yersinia phage phiR1-37,331278,Yersinia phage phiR1-37,Viruses
2819102,,,,
2845441,,,,
5270,Ustilago maydis,5270,Ustilago maydis,Eukaryota
1821559,Gordonia phage Obliviate,1821559,Gordonia phage Obliviate,Viruses
2992441,,,,
2955499,,,,
2901142,,,,
1985341,Citrobacter virus Merlin,1985341,Citrobacter virus Merlin,Viruses
2964606,,,,
2952527,,,,
1914856,Escherichia virus FFH2,1914856,Escherichia virus FFH2,Viruses
2953809,,,,
2560757,Shigella virus Sf14,2560757,Shigella virus Sf14,Viruses
2867236,,,,
2955351,,,,
2894082,,,,
227086,Bigelowiella natans,227086,Bigelowiella natans,Eukaryota
2955924,,,,
2770780,,,,
2845089,,,,
2956586,,,,
747522,Dolichospermum heterosporum,747522,Dolichospermum heterosporum,Bacteria
2731552,,,,
2931382,,,,
208452,Plasmodium coatneyi,208452,Plasmodium coatneyi,Eukaryota
1883371,Erwinia phage vB_EamM_ChrisDB,1883371,Erwinia phage vB_EamM_ChrisDB,Viruses
10753,Bacillus phage Nf,10753,Bacillus phage Nf,Viruses
39444,Cotia virus,39444,Cotia virus,Viruses
2831966,,,,
5865,Babesia bovis,5865,Babesia bovis,Eukaryota
2931976,,,,
2844204,,,,
2560652,Providencia virus PR1,2560652,Providencia virus PR1,Viruses
2929157,,,,
2782674,,,,
2963433,,,,
1918720,Cellulophaga virus ST,1918720,Cellulophaga virus ST,Viruses
2583374,,,,
2956580,,,,
2955536,,,,
56947,Choristoneura fumiferana granulovirus,56947,Choristoneura fumiferana granulovirus,Viruses
5807,Cryptosporidium parvum,5807,Cryptosporidium parvum,Eukaryota
2734097,Prochlorococcus virus Syn33,2734097,Prochlorococcus virus Syn33,Viruses
2878098,,,,
28288,Hyphantria cunea nucleopolyhedrovirus,28288,Hyphantria cunea nucleopolyhedrovirus,Viruses
2879113,,,,
2775080,,,,
2864211,,,,
2686364,Klebsiella sp. PCX,2686364,Klebsiella sp. PCX,Bacteria
2955972,,,,
2733624,Pseudomonas virus shl2,2733624,Pseudomonas virus shl2,Viruses
322009,Corynebacterium cyclohexanicum,322009,Corynebacterium cyclohexanicum,Bacteria
2953991,,,,
28871,Taterapox virus,28871,Taterapox virus,Viruses
1882662,Borrelia sp. HM,1882662,Borrelia sp. HM,Bacteria
1367435,Alcaligenes sp. DN25,1367435,Alcaligenes sp. DN25,Bacteria
447897,Mythimna unipuncta nucleopolyhedrovirus,447897,Mythimna unipuncta nucleopolyhedrovirus,Viruses
117187,Fusarium verticillioides,117187,Fusarium verticillioides,Eukaryota
2779360,,,,
2979869,,,,
2734019,Escherichia virus swan01,2734019,Escherichia virus swan01,Viruses
2860285,,,,
1229164,Sphingomicrobium flavum,1229164,Sphingomicrobium flavum,Bacteria
2560444,Escherichia virus GEC3S,2560444,Escherichia virus GEC3S,Viruses
2871493,,,,
2883106,,,,
521689,Thiocapsa bogorovii,521689,Thiocapsa bogorovii,Bacteria
2986424,,,,
2845189,,,,
418827,Yambean mosaic virus,418827,Yambean mosaic virus,Viruses
242527,Burkholderia virus Bcep22,242527,Burkholderia virus Bcep22,Viruses
2895947,,,,
1914897,Cronobacter virus CR3,1914897,Cronobacter virus CR3,Viruses
2912675,,,,
