e_id,e_name
1.2.1.19,aminobutyraldehyde dehydrogenase
1.2.1.20,glutarate-semialdehyde dehydrogenase
1.2.1.21,glycolaldehyde dehydrogenase
1.2.1.22,lactaldehyde dehydrogenase
1.2.1.24,succinate-semialdehyde dehydrogenase (NAD+)
1.2.1.26,"2,5-dioxovalerate dehydrogenase"
1.2.1.27,methylmalonate-semialdehyde dehydrogenase (CoA-acylating)
1.2.1.28,benzaldehyde dehydrogenase (NAD+)
1.2.1.3,aldehyde dehydrogenase (NAD+)
1.2.1.32,aminomuconate-semialdehyde dehydrogenase
1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase
1.2.1.39,phenylacetaldehyde dehydrogenase
1.2.1.4,aldehyde dehydrogenase (NADP+)
1.2.1.41,glutamate-5-semialdehyde dehydrogenase
1.2.1.46,formaldehyde dehydrogenase
1.2.1.5,aldehyde dehydrogenase [NAD(P)+]
1.2.1.50,long-chain acyl-protein thioester reductase
1.2.1.54,gamma-guanidinobutyraldehyde dehydrogenase
1.2.1.58,phenylglyoxylate dehydrogenase (acylating)
1.2.1.59,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)
1.2.1.60,5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
1.2.1.67,vanillin dehydrogenase
1.2.1.68,coniferyl-aldehyde dehydrogenase
1.2.1.70,glutamyl-tRNA reductase
1.2.1.71,succinylglutamate-semialdehyde dehydrogenase
1.2.1.72,erythrose-4-phosphate dehydrogenase
1.2.1.76,succinate-semialdehyde dehydrogenase (acylating)
1.2.1.77,"3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP+)"
1.2.1.79,succinate-semialdehyde dehydrogenase (NADP+)
1.2.1.8,betaine-aldehyde dehydrogenase
1.2.1.81,sulfoacetaldehyde dehydrogenase (acylating)
1.2.1.83,3-succinoylsemialdehyde-pyridine dehydrogenase
1.2.1.85,2-hydroxymuconate-6-semialdehyde dehydrogenase
1.2.1.87,propanal dehydrogenase (CoA-propanoylating)
1.2.1.88,L-glutamate gamma-semialdehyde dehydrogenase
1.2.1.9,glyceraldehyde-3-phosphate dehydrogenase (NADP+)
1.2.1.91,"3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase"
1.2.1.95,L-2-aminoadipate reductase
1.2.1.96,4-hydroxybenzaldehyde dehydrogenase (NADP+)
1.2.1.99,4-(gamma-glutamylamino)butanal dehydrogenase
1.2.3.1,aldehyde oxidase
1.2.3.3,pyruvate oxidase
1.2.4.1,pyruvate dehydrogenase (acetyl-transferring)
1.2.4.2,oxoglutarate dehydrogenase (succinyl-transferring)
1.2.4.4,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
1.2.5.1,pyruvate dehydrogenase (quinone)
1.2.5.3,aerobic carbon monoxide dehydrogenase
1.2.7.1,pyruvate synthase
1.2.7.10,oxalate oxidoreductase
1.2.7.11,2-oxoacid oxidoreductase (ferredoxin)
1.2.7.12,formylmethanofuran dehydrogenase
1.2.7.3,2-oxoglutarate synthase
1.2.7.4,anaerobic carbon-monoxide dehydrogenase
1.2.7.5,aldehyde ferredoxin oxidoreductase
1.2.7.6,glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)
1.2.7.7,3-methyl-2-oxobutanoate dehydrogenase (ferredoxin)
1.2.7.8,indolepyruvate ferredoxin oxidoreductase
1.2.98.1,formaldehyde dismutase
1.2.99.10,"4,4'-diapolycopenoate synthase"
1.2.99.7,aldehyde dehydrogenase (FAD-independent)
1.2.99.8,glyceraldehyde dehydrogenase (FAD-containing)
1.20.1.1,phosphonate dehydrogenase
1.20.2.1,arsenate reductase (cytochrome c)
1.20.4.1,arsenate reductase (glutathione/glutaredoxin)
1.20.4.3,mycoredoxin
1.20.9.1,arsenate reductase (azurin)
1.21.4.1,D-proline reductase
1.21.4.2,glycine reductase
1.21.4.3,sarcosine reductase
1.21.4.4,betaine reductase
1.21.98.1,cyclic dehypoxanthinyl futalosine synthase
1.21.98.3,anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase
1.3.1.1,dihydropyrimidine dehydrogenase (NAD+)
1.3.1.10,"enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)"
1.3.1.101,"2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase [NAD(P)H]"
1.3.1.104,enoyl-[acyl-carrier-protein] reductase (NADPH)
1.3.1.106,cobalt-precorrin-6A reductase
1.3.1.108,caffeoyl-CoA reductase
1.3.1.111,geranylgeranyl-bacteriochlorophyllide a reductase
1.3.1.12,prephenate dehydrogenase
1.3.1.13,prephenate dehydrogenase (NADP+)
1.3.1.14,dihydroorotate dehydrogenase (NAD+)
1.3.1.19,"cis-1,2-dihydrobenzene-1,2-diol dehydrogenase"
1.3.1.2,dihydropyrimidine dehydrogenase (NADP+)
1.3.1.20,"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
1.3.1.22,3-oxo-5alpha-steroid 4-dehydrogenase (NADP+)
1.3.1.24,biliverdin reductase
1.3.1.25,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase"
1.3.1.28,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
