covered_ec_count,pathway_id,pathway_name,total_ec_count,pathway_ec,covered_ec,covered_ratio
18.0,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",18.0,"2.3.1.117,2.1.1.13,4.2.3.1,2.6.1.1,2.1.1.14,3.5.1.18,1.1.1.3,2.7.2.4,1.17.1.8,4.3.3.7,4.4.1.13,2.7.1.39,5.1.1.7,1.2.1.11,2.5.1.48,2.3.1.46,2.6.1.17,4.1.1.20","2.3.1.46,1.2.1.11,4.4.1.13,2.3.1.117,4.1.1.20,1.1.1.3,2.5.1.48,2.6.1.1,2.7.1.39,2.7.2.4,2.1.1.14,4.3.3.7,4.2.3.1,2.1.1.13,5.1.1.7,3.5.1.18,1.17.1.8,2.6.1.17",1.0
6.0,PYRIDNUCSYN-PWY,NAD de novo biosynthesis I,6.0,"2.7.7.18,2.5.1.72,1.4.3.16,2.4.2.19,6.3.1.5,6.3.5.1","2.4.2.19,6.3.1.5,2.7.7.18,6.3.5.1,1.4.3.16,2.5.1.72",1.0
3.0,PWY-5698,allantoin degradation to ureidoglycolate II (ammonia producing),3.0,"3.5.3.26,3.5.2.5,3.5.3.9","3.5.3.26,3.5.2.5,3.5.3.9",1.0
2.0,PWY-4261,glycerol degradation I,2.0,"1.1.5.3,2.7.1.30","1.1.5.3,2.7.1.30",1.0
2.0,PWY-6952,glycerophosphodiester degradation,2.0,"1.1.5.3,3.1.4.46","1.1.5.3,3.1.4.46",1.0
7.0,PWY-7187,pyrimidine deoxyribonucleotides de novo biosynthesis II,9.0,"2.7.4.12,2.7.4.13,2.7.4.9,2.1.1.45,3.5.4.13,2.7.4.6,1.1.98.6,3.6.1.23,3.6.1.9","3.6.1.23,2.7.4.6,1.1.98.6,3.6.1.9,3.5.4.13,2.1.1.45,2.7.4.9",0.7777777777777778
4.0,HEMESYN2-PWY,heme b biosynthesis II (oxygen-independent),4.0,"4.98.1.1,4.1.1.37,1.3.98.3,1.3.5.3","1.3.98.3,1.3.5.3,4.98.1.1,4.1.1.37",1.0
4.0,HEME-BIOSYNTHESIS-II-1,heme b biosynthesis V (aerobic),4.0,"4.98.1.1,4.1.1.37,1.3.3.3,1.3.5.3","1.3.5.3,4.98.1.1,4.1.1.37,1.3.3.3",1.0
1.0,ASPARAGINE-BIOSYNTHESIS,L-asparagine biosynthesis I,1.0,6.3.5.4,6.3.5.4,1.0
3.0,PWY-7180,2-deoxy-alpha-D-ribose 1-phosphate degradation,3.0,"5.4.2.7,4.1.2.4,1.2.1.10","5.4.2.7,1.2.1.10,4.1.2.4",1.0
4.0,PWY-7181,pyrimidine deoxyribonucleosides degradation,5.0,"2.4.2.2,2.4.2.4,2.4.2.3,2.4.2.2,3.5.4.5","2.4.2.4,2.4.2.3,2.4.2.2,3.5.4.5",0.8
2.0,PWY-7179,purine deoxyribonucleosides degradation I,2.0,"3.5.4.4,2.4.2.1","3.5.4.4,2.4.2.1",1.0
5.0,HCAMHPDEG-PWY,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate,5.0,"1.13.11.16,3.7.1.14,1.14.12.19,1.14.13.127,1.3.1.87","1.3.1.87,1.14.13.127,1.14.12.19,1.13.11.16,3.7.1.14",1.0
1.0,PWY0-1021,L-alanine biosynthesis III,1.0,2.8.1.7,2.8.1.7,1.0
2.0,ALANINE-VALINESYN-PWY,L-alanine biosynthesis I,2.0,"2.6.1.42,2.6.1.66","2.6.1.42,2.6.1.66",1.0
1.0,SAM-PWY,S-adenosyl-L-methionine biosynthesis,1.0,2.5.1.6,2.5.1.6,1.0
5.0,PWY-6121,5-aminoimidazole ribonucleotide biosynthesis I,5.0,"2.1.2.2,2.4.2.14,6.3.4.13,6.3.3.1,6.3.5.3","2.1.2.2,2.4.2.14,6.3.3.1,6.3.5.3,6.3.4.13",1.0
2.0,PWY-7226,guanosine deoxyribonucleotides de novo biosynthesis I,2.0,"1.17.4.1,2.7.4.6","1.17.4.1,2.7.4.6",1.0
5.0,PWY-6124,inosine-5'-phosphate biosynthesis II,5.0,"6.3.2.6,4.1.1.21,3.5.4.10,4.3.2.2,2.1.2.3","4.3.2.2,2.1.2.3,4.1.1.21,3.5.4.10,6.3.2.6",1.0
3.0,PWY-7301,dTDP-4-O-demethyl-beta-L-noviose biosynthesis,5.0,"2.1.1,5.1.3.13,1.1.1,4.2.1.46,2.7.7.24","2.7.7.24,4.2.1.46,5.1.3.13",0.6
1.0,PWY-7303,4-hydroxy-3-prenylbenzoate biosynthesis,4.0,"2.5.1.111,1.3.1.12,1.13.12.23,1.13.11.83",1.3.1.12,0.25
2.0,PWY-6535,4-aminobutanoate degradation I,2.0,"1.2.1.24,2.6.1.19","1.2.1.24,2.6.1.19",1.0
3.0,PWY-8239,cholesterol biosynthesis (diatoms),12.0,"1.1.1.418,1.14.14.154,1.14.18.10,1.14.19.20,1.3.1.72,1.14.18.9,1.1.1.270,5.5.1.9,1.3.1.21,1.3.1.70,1.1.1.170,5.3.3.5","1.3.1.72,1.14.19.20,1.14.14.154",0.25
4.0,PWY-8238,"24-epi-campesterol, fucosterol, and clionasterol biosynthesis (diatoms)",14.0,"1.1.1.418,1.14.14.154,2.1.1.M86,1.14.18.10,1.14.19.20,1.1.1,1.3.1.71,1.1.1.270,2.1.1.41,5.5.1.9,1.3.1.21,1.3.1.70,1.14.18.11,5.3.3.5","2.1.1.41,1.14.14.154,1.14.19.20,1.3.1.71",0.2857142857142857
4.0,PWY-7315,dTDP-N-acetylthomosamine biosynthesis,4.0,"2.3.1.210,2.7.7.24,4.2.1.46,2.6.1.59","2.3.1.210,2.7.7.24,4.2.1.46,2.6.1.59",1.0
3.0,ECASYN-PWY,enterobacterial common antigen biosynthesis,4.0,"2.4.1.325,2.4.99,2.4.1.180,2.7.8.33","2.4.1.180,2.7.8.33,2.4.1.325",0.75
4.0,SO4ASSIM-PWY,assimilatory sulfate reduction I,4.0,"2.7.7.4,2.7.1.25,1.8.4.8,1.8.1.2","2.7.7.4,1.8.1.2,1.8.4.8,2.7.1.25",1.0
4.0,PWY-801,homocysteine and cysteine interconversion,4.0,"4.2.1.22,2.5.1.48,4.4.1.1,4.4.1.13","4.4.1.1,2.5.1.48,4.2.1.22,4.4.1.13",1.0
2.0,PWY-5344,L-homocysteine biosynthesis,2.0,"2.3.1.31,2.5.1.49","2.3.1.31,2.5.1.49",1.0
2.0,PWY-5494,pyruvate fermentation to propanoate II (acrylate pathway),3.0,"4.2.1.54,2.8.3.1,1.3.1.95","4.2.1.54,2.8.3.1",0.6666666666666666
7.0,PWY-8152,androstenedione degradation II (anaerobic),15.0,"1.3.1,1.3.99,6.2.1.41,1.3.99.5,4.2.1,1.3.99.4,2.3.1.16,2.3.1,1.1.1,6.2.1,1.1.1.35,1.3.8,4.2.1.119,1.1.1.145,4.1.99","1.1.1.35,1.1.1.145,1.3.99.4,6.2.1.41,1.3.99.5,4.2.1.119,2.3.1.16",0.4666666666666667
4.0,PWY-8151,cholesterol degradation to androstenedione III (anaerobic),10.0,"1.3.99,5.3.3.1,4.2.1,6.2.1,2.3.1,6.2.1.42,5.1.99.4,1.1.1.145,1.2.1,1.17.99.10","1.1.1.145,5.3.3.1,5.1.99.4,6.2.1.42",0.4
1.0,TRPKYNCAT-PWY,L-tryptophan degradation IV (via indole-3-lactate),3.0,"2.6.1.1,2.6.1.27,1.1.1.110",2.6.1.1,0.3333333333333333
2.0,ENTNER-DOUDOROFF-PWY,Entner-Doudoroff shunt,3.0,"4.1.2.55,4.1.2.14,4.2.1.12","4.2.1.12,4.1.2.14",0.6666666666666666
1.0,PWY-7929,polybrominated phenols biosynthesis,2.0,"1.14.19.55,4.1.3.40",4.1.3.40,0.5
1.0,PWY-7931,brominated pyrroles biosynthesis,4.0,"1.3.8.14,3.1.2,6.2.1.53,4.1.1",1.3.8.14,0.25
1.0,PWY-7839,lacto-series glycosphingolipids biosynthesis,7.0,"2.4.1.80,2.4.1.69,2.4.1.206,2.4.3.1,2.4.3.9,2.4.1.86,2.4.1.274",2.4.1.80,0.14285714285714285
1.0,PWY-7838,globo-series glycosphingolipids biosynthesis,7.0,"2.4.1.80,2.4.1.228,2.4.1.88,2.4.3.4,2.4.1,2.4.1.274,2.4.1.79",2.4.1.80,0.14285714285714285
1.0,PWY-7841,neolacto-series glycosphingolipids biosynthesis,7.0,"2.4.1.80,2.4.3.6,2.4.1.206,2.4.3.1,2.4.1.149,2.4.1.275,2.4.1.274",2.4.1.80,0.14285714285714285
2.0,PWY-7836,ganglio-series glycosphingolipids biosynthesis,9.0,"2.4.1.80,2.4.1.62,2.4.3.8,2.4.3.1,2.4.3.9,2.4.1.92,2.4.3.2,2.4.3.4,2.4.1.274","2.4.1.80,2.4.1.92",0.2222222222222222
2.0,PWY-7812,tetracycline and oxytetracycline biosynthesis,7.0,"1.14.13.233,1.14.13.234,1.3.98.4,2.1.1.335,1.14.13.38,2.6.1.M2,1.14.13.232","1.14.13.233,1.14.13.232",0.2857142857142857
1.0,PWY-7811,6-methylpretetramide biosynthesis,8.0,"4.2.1.M9,4.2.1.M10,2.3.1.260,2.1.1.M31,1.1.1.M31,5.5.1,6.3.5.M2,2.3.1.M29",2.3.1.260,0.125
1.0,PWY-6785,hydrogen production VIII,1.0,1.12.7.2,1.12.7.2,1.0
2.0,PWY-101,photosynthesis light reactions,4.0,"1.18.1.2,7.1.1.6,1.10.3.9,1.97.1.12","1.18.1.2,7.1.1.6",0.5
1.0,PWY1G-170,formaldehyde oxidation III (mycothiol-dependent),2.0,"1.1.1.306,3.13.1",1.1.1.306,0.5
2.0,PWY-7587,oleate biosynthesis III (cyanobacteria),3.0,"2.3.1.15,2.3.1.51,1.14.19.28","2.3.1.15,2.3.1.51",0.6666666666666666
1.0,PWY-7593,linoleate biosynthesis III (cyanobacteria),1.0,1.14.19.45,1.14.19.45,1.0
2.0,PWY-6000,gamma-linolenate biosynthesis II (animals),2.0,"6.2.1.3,1.14.19.3","1.14.19.3,6.2.1.3",1.0
1.0,PWY-6722,candicidin biosynthesis,5.0,"6.2.1,2.3.1,1.14.15,2.1.3.15,2.4.1",2.1.3.15,0.2
1.0,PWY-7573,GDP-mycosamine biosynthesis,2.0,"4.2.1.47,2.6.1",4.2.1.47,0.5
2.0,PWY-6543,4-aminobenzoate biosynthesis I,2.0,"4.1.3.38,2.6.1.85","4.1.3.38,2.6.1.85",1.0
2.0,BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,2.0,"2.5.1.16,4.1.1.50","2.5.1.16,4.1.1.50",1.0
1.0,PWY-6756,S-methyl-5'-thioadenosine degradation II,1.0,2.4.2.28,2.4.2.28,1.0
6.0,PWY-4361,S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I,8.0,"5.3.1.23,1.13.11.54,2.6.1.117,4.2.1.109,5.3.2.5,3.5.1.3,3.5.1.111,3.1.3.87","5.3.2.5,5.3.1.23,3.5.1.3,1.13.11.54,4.2.1.109,3.1.3.87",0.75
4.0,PWY-6808,dTDP-alpha-D-forosamine biosynthesis,5.0,"2.6.1.110,1.1.1.384,4.2.1.164,4.2.1.46,2.7.7.24","1.1.1.384,2.7.7.24,4.2.1.164,4.2.1.46",0.8
3.0,PWY-6973,"dTDP-alpha-D-olivose, dTDP-alpha-D-oliose and dTDP-alpha-D-mycarose biosynthesis",5.0,"2.1.1,1.1.1.384,1.1.1,4.2.1.46,2.7.7.24","1.1.1.384,2.7.7.24,4.2.1.46",0.6
2.0,PWY-7104,dTDP-beta-L-megosamine biosynthesis,6.0,"2.1.1,1.1.1,4.2.1.46,2.6.1,5.1.3,2.7.7.24","2.7.7.24,4.2.1.46",0.3333333333333333
2.0,PWY-6976,dTDP-beta-L-mycarose biosynthesis,6.0,"1.17.1,2.1.1,1.1.1,4.2.1.46,5.1.3,2.7.7.24","2.7.7.24,4.2.1.46",0.3333333333333333
3.0,PWY-6974,dTDP-beta-L-olivose biosynthesis,5.0,"1.1.1.384,1.1.1,4.2.1.46,5.1.3,2.7.7.24","1.1.1.384,2.7.7.24,4.2.1.46",0.6
1.0,PWY-283,benzoate degradation II (aerobic and anaerobic),1.0,6.2.1.25,6.2.1.25,1.0
2.0,CENTBENZCOA-PWY,benzoyl-CoA degradation II (anaerobic),5.0,"2.3.1,1.1.1.368,4.2.1.100,1.1.1.259,1.3.7.8","1.1.1.368,1.3.7.8",0.4
3.0,PWY-5177,glutaryl-CoA degradation,4.0,"1.1.1.35,4.2.1.150,2.3.1.16,2.3.1.9","1.1.1.35,2.3.1.9,2.3.1.16",0.75
1.0,PWY-5535,acetate and ATP formation from acetyl-CoA II,1.0,6.2.1.13,6.2.1.13,1.0
8.0,PWY-7384,"anaerobic energy metabolism (invertebrates, mitochondrial)",10.0,"1.3.5.1,6.2.1.5,2.8.3.27,5.4.99.2,6.4.1.3,1.2.1.104,4.2.1.2,2.8.3.18,5.1.99.1,1.1.1.38","5.1.99.1,6.4.1.3,5.4.99.2,4.2.1.2,1.3.5.1,1.1.1.38,2.8.3.18,6.2.1.5",0.8
6.0,PWY-7383,"anaerobic energy metabolism (invertebrates, cytosol)",7.0,"2.6.1.2,5.1.1.10,5.1.1.1,2.6.1.1,1.1.1.37,4.1.1.32,2.7.1.40","1.1.1.37,5.1.1.1,2.7.1.40,2.6.1.1,2.6.1.2,4.1.1.32",0.8571428571428571
2.0,PWY-5537,pyruvate fermentation to acetate V,3.0,"6.2.1.5,2.8.3.18,1.2.1.104","2.8.3.18,6.2.1.5",0.6666666666666666
1.0,HEXPPSYN-PWY,hexaprenyl diphosphate biosynthesis,1.0,2.5.1.83,2.5.1.83,1.0
4.0,PWY-7371,"1,4-dihydroxy-6-naphthoate biosynthesis II",5.0,"4.1.99.M7,2.5.1.120,3.2.2.30,4.2.1.151,1.21.98.1","1.21.98.1,4.2.1.151,3.2.2.30,2.5.1.120",0.8
5.0,PWY-3801,sucrose degradation II (sucrose synthase),6.0,"5.3.1.9,2.7.7.64,2.7.7.9,2.4.1.13,5.4.2.2,2.7.1.4","2.7.7.64,5.3.1.9,2.7.7.9,2.7.1.4,5.4.2.2",0.8333333333333334
2.0,PWY-5486,pyruvate fermentation to ethanol II,2.0,"1.1.1.1,4.1.1.1","4.1.1.1,1.1.1.1",1.0
3.0,PWY-5316,nicotine biosynthesis,6.0,"1.14.14,1.1.1,2.5.1.72,1.4.3.16,2.4.2.19,3.2.2.M4","1.4.3.16,2.5.1.72,2.4.2.19",0.5
2.0,PWY-5317,tropane alkaloids biosynthesis,9.0,"1.1.1.206,1.14.13,2.3.1,1.1.1.110,1.14.20.13,1.14.11.11,2.3.1.185,2.6.1.57,2.4.1","2.6.1.57,1.1.1.206",0.2222222222222222
2.0,PWY-46,putrescine biosynthesis III,2.0,"4.1.1.17,3.5.3.1","3.5.3.1,4.1.1.17",1.0
2.0,PWY-7335,UDP-N-acetyl-alpha-D-mannosaminouronate biosynthesis,2.0,"1.1.1.336,5.1.3.14","1.1.1.336,5.1.3.14",1.0
5.0,PWY-7090,"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate biosynthesis",5.0,"1.1.1.335,5.1.3.23,1.1.1.136,2.3.1.201,2.6.1.98","2.3.1.201,2.6.1.98,1.1.1.335,1.1.1.136,5.1.3.23",1.0
1.0,PWY-7331,UDP-N-acetyl-beta-L-quinovosamine biosynthesis,3.0,"5.1.3,1.1.1,4.2.1.115",4.2.1.115,0.3333333333333333
1.0,PWY-7334,UDP-N-acetyl-alpha-D-quinovosamine biosynthesis,2.0,"1.1.1.426,4.2.1.135",4.2.1.135,0.5
1.0,PWY-7330,UDP-N-acetyl-beta-L-fucosamine biosynthesis,2.0,"5.1.3.28,4.2.1.115",4.2.1.115,0.5
1.0,PWY-7333,UDP-N-acetyl-alpha-D-fucosamine biosynthesis,2.0,"1.1.1,4.2.1.135",4.2.1.135,0.5
1.0,PWY-7336,UDP-N-acetyl-alpha-D-galactosaminuronate biosynthesis,2.0,"5.1.3,1.1.1.136",1.1.1.136,0.5
5.0,UDPNAGSYN-PWY,UDP-N-acetyl-D-glucosamine biosynthesis I,5.0,"2.6.1.16,5.4.2.10,2.3.1.157,2.7.7.23,5.3.1.9","2.6.1.16,2.7.7.23,5.4.2.10,5.3.1.9,2.3.1.157",1.0
1.0,PWY-5512,UDP-N-acetyl-D-galactosamine biosynthesis I,1.0,5.1.3.7,5.1.3.7,1.0
2.0,PWY-5739,GDP-D-perosamine biosynthesis,2.0,"4.2.1.47,2.6.1.102","4.2.1.47,2.6.1.102",1.0
2.0,PWY-5738,GDP-6-deoxy-D-talose biosynthesis,3.0,"4.2.1.47,1.1.1.187,1.1.1.135","4.2.1.47,1.1.1.135",0.6666666666666666
2.0,GDPRHAMSYN-PWY,GDP-D-rhamnose biosynthesis,3.0,"4.2.1.47,1.1.1.281,1.1.1.187","4.2.1.47,1.1.1.281",0.6666666666666666
1.0,PWY-5740,GDP-L-colitose biosynthesis,2.0,"4.2.1.47,1.1.1.356",4.2.1.47,0.5
2.0,PWY-7318,"dTDP-3-acetamido-3,6-dideoxy-alpha-D-glucose biosynthesis",5.0,"2.3.1,5.3.2.4,4.2.1.46,2.6.1.89,2.7.7.24","2.7.7.24,4.2.1.46",0.4
5.0,DTDPRHAMSYN-PWY,dTDP-beta-L-rhamnose biosynthesis,5.0,"5.1.3.13,1.1.1.133,4.2.1.46,5.4.2.2,2.7.7.24","1.1.1.133,4.2.1.46,2.7.7.24,5.1.3.13,5.4.2.2",1.0
2.0,PWY-6953,dTDP-3-acetamido-alpha-D-fucose biosynthesis,5.0,"2.7.7.24,5.3.2.3,2.6.1.90,4.2.1.46,2.3.1.197","2.7.7.24,4.2.1.46",0.4
2.0,PWY-7312,dTDP-beta-D-fucofuranose biosynthesis,4.0,"5.4.99.59,1.1.1.266,2.7.7.24,4.2.1.46","2.7.7.24,4.2.1.46",0.5
4.0,PWY-7316,dTDP-N-acetylviosamine biosynthesis,4.0,"2.3.1.209,2.6.1.33,2.7.7.24,4.2.1.46","2.3.1.209,2.6.1.33,2.7.7.24,4.2.1.46",1.0
3.0,PWY66-378,androgen biosynthesis,6.0,"1.1.1.64,5.3.3.1,1.14.14.19,1.14.14.32,1.3.1.22,1.1.1.145","1.1.1.145,5.3.3.1,1.3.1.22",0.5
2.0,PWY-7299,progesterone biosynthesis,2.0,"5.3.3.1,1.1.1.145","1.1.1.145,5.3.3.1",1.0
3.0,PWY-7286,7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,4.0,"2.1.1.282,4.1.3.44,2.1.1.228,2.5.1.114","2.5.1.114,4.1.3.44,2.1.1.228",0.75
1.0,PWY3DJ-11281,sphingomyelin metabolism,3.0,"3.5.1.109,2.7.8.27,3.1.4.12",3.1.4.12,0.3333333333333333
1.0,PWY3DJ-12,ceramide de novo biosynthesis,4.0,"2.3.1.50,2.3.1.24,1.14.19.17,1.1.1.102",1.1.1.102,0.25
3.0,PWY-6754,S-methyl-5'-thioadenosine degradation I,3.0,"2.7.1.100,3.2.2.9,3.2.2.16","3.2.2.9,3.2.2.16,2.7.1.100",1.0
5.0,PWY-7269,mitochondrial NADPH production (yeast),7.0,"2.7.1.M29,2.7.1.23,1.6.5.9,2.7.1.M29,2.7.1.86,1.2.1.4,1.2.1.3","2.7.1.86,1.6.5.9,1.2.1.3,2.7.1.23,1.2.1.4",0.7142857142857143
5.0,PWY-7268,cytosolic NADPH production (yeast),7.0,"2.7.1.M29,2.7.1.23,1.1.1.49,2.7.1.M29,2.7.1.86,1.2.1.4,1.1.1.42","2.7.1.86,1.1.1.49,2.7.1.23,1.2.1.4,1.1.1.42",0.7142857142857143
7.0,PWY-5097,L-lysine biosynthesis VI,7.0,"2.6.1.83,2.7.2.4,4.3.3.7,5.1.1.7,1.2.1.11,1.17.1.8,4.1.1.20","2.6.1.83,1.2.1.11,4.1.1.20,2.7.2.4,4.3.3.7,5.1.1.7,1.17.1.8",1.0
4.0,PWY-702,L-methionine biosynthesis II,4.0,"2.5.1.48,3.5.99.10,2.7.1.39,2.1.1.14","2.1.1.14,2.5.1.48,2.7.1.39,3.5.99.10",1.0
7.0,P562-PWY,myo-inositol degradation I,7.0,"3.7.1.22,4.2.1.44,2.7.1.92,5.3.1.30,4.1.2.29,1.2.1.18,1.1.1.18","5.3.1.30,1.1.1.18,1.2.1.18,2.7.1.92,4.2.1.44,4.1.2.29,3.7.1.22",1.0
